release_group,name,artist_credit,type
id-930289,...alles bloss liebeslieder,id-690624,3
id-136252,T.V. Gopalakrishnan,id-106991,1
id-549695,Short Of The Limelight,id-389068,1
rec-912348-dup-1,Nur5e,id-581191,2
id-853288,Now You Say Nothing at All,id-446336,2
id-549699,feign,id-2278450,1
id-1306491,Dance Dance Dance / Do What You Want to Do,id-568742,2
id-707437,Splatter Baby,id-519356,1
id-3073768,Blinding Lights,id-3396082,2
id-1291550,Fine Lookin Country Girl,id-1204895,
id-518142,Unknown Land Meaning,id-361721,1
id-936879,Hoshi,id-655803,2
rec-1260755-dup-0,E.P.,id-225216,3
id-409606,Want It,id-288687,3
id-636509,Curious,id-336724,2
id-2892951,3818,id-3219488,1
id-797184,Running Between the Raindrops / Please Dont Talk About Me When Im Gone,id-588483,2
id-1192462,House of Dead Ninjas,id-1047512,1
id-714948,Beyond the Gates of Paradise,id-522208,2
id-1462970,Satanic War,id-1391222,1
rec-756225-dup-1,Cuando calienta el sil,id-557054,1
id-1903238,Die schöne Müllerin,id-2132831,1
id-1305943,Be Love,id-1222794,1
id-974433,Fleur de sel,id-507736,1
id-930607,Un Viaje a lo Infinito A Trip to the Infinite Thing,id-690827,1
id-1161013,Boring Love,id-716854,2
id-821285,Medication in Stereo,id-606718,1
id-801652,Mistreated,id-592337,2
id-880620,Dead or Anything,id-648732,2
id-2164311,Prepositions,id-2424248,3
id-1261360,The Second Monologue,id-472709,3
id-833234,I Live to Help Others,id-560850,1
id-900854,Carry Me,id-666656,2
id-971445,On Deck,id-728217,2
id-341925,The Baguio Track,id-22261,2
id-483256,Cant Stand It / Floor Control,id-336765,2
id-930466,Nervoza,id-690719,11
id-1189546,Let the Bass Kick,id-1049354,2
id-1232438,Demo II,id-1114252,3
id-2616161,Lessons Learned,id-2938658,2
id-1219779,FOTONICA Original Soundtrack,id-1394967,
id-1100528,Tre Fo Anthem,id-866147,2
id-1182971,Nuclear Funk Remixes,id-1029273,2
id-676239,Desire,id-37198,2
id-691880,Somethings Goin On,id-92708,2
rec-1221287-dup-0,NUH OTHER GYAL,id-1096613,2
id-1116783,Ultraviolet / Bleu Monday,id-896138,2
id-992403,Obsession,id-743939,2
rec-1288833-dup-1,Beat Re5ort,id-148878,1
id-1015937,Josephine / Lets Start Anew,id-763072,2
id-903582,Bells,id-390581,1
id-864773,Сингл,id-632730,2
id-755401,Pranayam  Bandh,id-234805,11
id-1012639,Gymnastics for Couples,id-205326,2
id-682969,I Guess They Think That,id-1685643,2
id-404041,Strange Geographie,id-284322,1
id-2613537,Stay With Me,id-2936407,2
id-2340864,Morningstar,id-2653783,2
id-933542,KNFM Concertconcours 2009,id-693337,1
id-1262181,Acid Warriors,id-153807,2
id-1811825,Evil Eye,id-2008712,2
id-664383,Somewhere Beyond / Lets Get Horny,id-197642,2
id-500286,Parker Street Cinema,id-348321,1
id-716893,Papaia,id-525565,3
id-1348477,Welcome The...,id-344038,
id-1002590,A Perfect Day,id-2595559,2
id-299474,Growin On Up,id-210226,1
id-221154,Industry Demo,id-160128,
id-1377522,Le Soleil Noir,id-364231,2
id-88262,Come Around,id-455023,2
id-970869,Touch the Sun,id-396937,3
rec-685952-dup-0,Anari ta Pettl,id-325766,1
id-823843,Earth Rise,id-208796,1
