artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-340225-dup-0,The Ruce Twins,Rise Twins The,2005,,,,,,f,Group,,,
id-1043124,Vaccuum,Vaccuum,,,,,,,f,,,,US hc
id-462339,Jolynn Murray,Murray Jolynn,,,,,,,f,Person,,,
id-721028,Kadenza,Kadenza,,,,,,,f,Group,,,1980s British disco/funk duo
id-728519,Tweety,Tweety,,,,,,,f,,,,
rec-340225-dup-1,The Rice Twims,Rice Tw9ns The,2005,,,,,,f,Group,,,
id-188843,Ciudad Feliz,Ciudad Feliz,,,,,,,f,Group,,,
id-729068,Tenboy,Tenboy,,,,,,,f,Group,,,
id-58474,Treasure 2,Treasure 2,,,,,,,f,,,,
id-394897,Mac Lomig,Lomig Mac,,,,,,,f,Person,,,
id-745272,Miss Clara Williams,Williams Clara Miss,,,,,,,f,Person,,,
id-175605,Rhythm of Black Lines,Rhythm of Black Lines,,,,,,,f,Group,,,
id-1178674,Tasha Page-Lockhart,Page-Lockhart Tasha,1983,3,21,,,,f,Person,Female,,
id-759656,Playdoughboy,Playdoughboy,,,,,,,f,Person,,,
id-739942,Len Sander,Len Sander,2010,,,,,,f,Group,,,
rec-613411-dup-0,Koka,Koika,,,,,,,f,Person,,,
id-81157,Thierry Bones,Bones Thierry,,,,,,,f,Person,,,
id-210839,Ricardo Marrero and The Group,Ricardo Marrero and The Group,,,,,,,f,,,,
rec-2290878-dup-0,pha|ène,phalèhe,,,,,,,f,,,,
id-1174370,Heresia,Heresia,,,,,,,f,Group,,,finnish metal band
id-1971407,Bratter,Bratter,2002,2,22,,,,f,Person,Male,id-84682,Rapper/Singer
id-1031458,Dune Collective,Dune Collective,,,,,,,f,Group,,id-4600,
rec-1601389-dup-0,Gerico Ecer,Eker Genco,,,,,,,f,,,,
id-744270,Malachia,Malachia,,,,,,,f,Group,,,experimental/ambient band
id-336724,Sun Sun Sun,Sun Sun Sun,,,,,,,f,Group,,,
id-618013,Dominique Langham,Dominique Langham,,,,,,,f,Person,,,
id-68948,Private Taste,Private Taste,,,,,,,f,Group,,,
id-522297,Jessie Warner,Warner Jessie,,,,,,,f,Person,,,
id-220861,Zad,Zad,,,,,,,f,,,,
id-729115,Whisper Room,Whisper Room,,,,,,,f,Group,,,
rec-414493-dup-1,Turnip Truck,Tuahnip Truck,,,,,,,f,Group,,,
id-964534,Stone Darling,Stone Darling,,,,,,,f,Group,,,
id-68942,Viframa,Viframa,,,,,,,f,Group,,,
id-361967,Touane,Touane,,,,,,,f,Person,,,
id-584545,Hazel,Hazel,,,,,,,f,Person,,,House music producer
id-361965,Nuel,Nuel,,,,,,,f,Person,,,
id-123170,The Gravity Show,Gravity Show The,,,,,,,f,Group,,,
id-1511526,Luke Friend,Friend Luke,,,,,,,f,Person,Male,,
id-719282,That Guy With the Headphones,That Guy With the Headphones,1990,4,21,,,,f,Person,,,
id-704533,Hot Vamp Club,Hot Vamp Club,2009,3,,,,,f,Group,,,Indie-rock quartet from London and Bournemouth
id-833898,Fatima,Fatima,,,,,,,f,,,,IDM artist
id-877820,Anix Gleo,Anix Gleo,,,,,,,f,,,,
id-1767779,Joe Ressington,Ressington Joe,,,,,,,f,Person,,,Jupiter Broadcasting
id-1241636,Xes Dreams,Xes Dreams,,,,,,,f,Group,,,
id-833238,Graham Philip dAncey,dAncey Graham Philip,,,,,,,f,,,,
id-832544,The Temple Heirs,The Temple Heirs,,,,,,,f,,,,
id-1118767,Recitation,Recitation,,,,,,,f,Group,,,Doom Metal from Denmark
id-1142352,Global Journey,Global Journey,,,,,,,f,Other,,,
id-487412,Accidental Angels,Accidental Angels,,,,,,,f,Group,,,
id-864179,Tiaam Basho,Basho Tiaam,,,,,,,f,Person,Male,,
