track,recording,medium,position,number,name,artist_credit,length,is_data_track
id-32665958,id-27946183,id-3083619,1,1,Awela Studio BMD 37 edit,id-2071643,184000,f
id-7494431,id-8833750,id-482341,5,5,Citation original,id-262499,,f
id-10118636,id-11663748,id-756952,8,B4,Lonely for the High Scrapers,id-755458,307000,f
id-3173703,id-3830982,id-943024,1,1,Aún,id-240696,,f
rec-7695395-dup-0,id-9050670,id-863718,2,2,Heroez,id-426536,,f
id-4403368,id-5426483,id-978887,1,1,Seize the Day,id-440148,97840,f
id-11830881,id-13239838,id-1135488,1,1,Various Breathing Techniques,id-942397,786000,f
id-3635853,id-4414456,id-957015,2,2,Silence,id-188968,,f
id-13138469,id-13932983,id-1216512,1,1,Pumped Up Kicks,id-1042383,242000,f
id-25332205,id-22602958,id-2334668,3,B2,Where the Heart Is,id-376916,325000,f
id-6920601,id-8218207,id-1001677,4,4,Rasp  Hook,id-539743,284000,f
id-20146782,id-18865304,id-1829493,1,1,Shogun,id-3010459,299000,f
rec-14849177-dup-1,rec-14957364-dup-1,id-1333295,3,3,Devils in tbe Details,id-1171562,218666,f
rec-13051222-dup-0,id-13275562,id-1139512,3,3,Byond the Shadows,id-1034824,243000,f
id-13431840,id-14097993,id-1235684,2,2,Metal Arrives,id-1067072,298000,f
id-8947718,id-10395608,id-640780,3,3,Leeds Leeds Leeds original version,id-390979,,f
id-12651047,id-8623582,id-460036,1,A,The Spirit Is Justified Tranceformation mix,id-43957,805000,f
id-10075638,id-11616441,id-753410,1,1,Half Full,id-753386,1166266,f
id-7316842,id-8639913,id-461853,2,2,Flomarkt,id-570927,332000,f
id-10572313,id-12164756,id-807017,4,4,The Boulevard,id-789242,327866,f
id-10649883,id-12249357,id-815416,1,1,Ima Pro,id-793781,323000,f
id-17710371,id-17090346,id-1599796,1,1,Le Gué,id-654425,234840,f
id-3173419,id-3830633,id-942627,2,2,Special Feeling,id-240671,262000,f
id-4899069,id-6021167,id-171836,3,3,Grandmas Groove,id-249250,199000,f
id-15241170,id-15184730,id-1361547,1,1,In Your Eyes,id-1205432,,f
id-11191852,id-12764534,id-1081900,1,1,Tras Nubes,id-521914,169000,f
id-8903767,id-10348589,id-635516,2,2,Zimb,id-581191,508000,f
id-6981115,id-8283244,id-422254,2,A2,Intuit Downtempo original,id-1531099,,f
id-12606107,id-12558361,id-1058512,2,2,The Painter,id-196942,200760,f
id-28180040,id-24722522,id-2617012,1,1,Ahi Kā,id-1929663,227000,f
id-27533510,id-24225541,id-2553284,1,1,Sent And Received,id-2373201,224000,f
id-6504391,id-7770371,id-360736,1,1,Shadows 4 états amoureux soprano Valérie Guillorit,id-493847,511000,f
id-6555983,id-7826032,id-366557,2,2,Rather Amusing Act Sense remix,id-510667,244000,f
id-10580020,id-12173167,id-807786,4,4,Turned,id-424562,98706,f
id-13932115,id-14402490,id-1269436,1,1,Busca Dentro de Tu Ser,id-1107158,,f
id-3474579,id-4209981,id-448614,1,1,Ive Got the Music in Me IP mix,id-310947,369106,f
id-5827202,id-7038080,id-280288,6,6,In Conclusion Im Not Big on Quizzes but Come Crunch Time or When It Counts Ill Be There,id-280140,320840,f
id-4143742,id-5077636,id-86372,1,1,天使タクシーのテーマ,id-315308,161586,f
id-184418,id-224217,id-868516,1,1,Live at the Manhattan,id-16063,3989906,f
id-17786129,id-17147889,id-1606516,1,1,Uit Blues,id-1399311,253346,f
id-5828886,id-7039851,id-937293,5,5,Cielo de Cuba,id-447309,306000,f
