artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-1043124,Vaccuum,Vaccuum,,,,,,,f,,,,US hc
id-1858426,Mothafxcka Lee,Lee Mothafxcka,,,,,,,f,,,,
id-721028,Kadenza,Kadenza,,,,,,,f,Group,,,1980s British disco/funk duo
id-511215,Tommie Jenkins,Jenkins Tommie,,,,,,,f,Person,,,
id-728519,Tweety,Tweety,,,,,,,f,,,,
id-225785,Bogus Blimp,Bogus Blimp,,,,,,,f,Group,,,
id-728511,Oh My Stars,Oh My Stars,,,,,,,f,Group,,,
id-758257,Fumes Of Decay,Fumes Of Decay,2007,,,,,,f,Group,,,Brutal Death Metal
id-58474,Treasure 2,Treasure 2,,,,,,,f,,,,
id-94766,Uneven Surface,Uneven Surface,,,,,,,f,,,,
id-175605,Rhythm of Black Lines,Rhythm of Black Lines,,,,,,,f,Group,,,
rec-545044-dup-0,Cund Hunt,Cund Hunt,,,,,,,f,Group,,,
id-588656,織姫よぞら,Orihime Yozora,,,,,,,f,,,,
id-588655,Polska,Polska,,,,,,,f,Person,,,Gareth McNamee
id-316878,Christopher Kah,Kah Christopher,,,,,,,f,Person,,,
id-1174370,Heresia,Heresia,,,,,,,f,Group,,,finnish metal band
id-105538,DJ Glow,Glow DJ,,,,,,,f,Person,Male,,electro
id-577310,Nox,Nox,,,,,,,f,Person,,,experimental electronic artist Stefan Lewandowski
id-484282,Ein Stück heile Welt,Ein Stück heile Welt,,,,,,,f,Group,,,
id-761083,Eddie Hickey,Hickey Eddie,,,,,,,f,Person,,,
id-336724,Sun Sun Sun,Sun Sun Sun,,,,,,,f,Group,,,
rec-606517-dup-0,Boba1< Jons Malone,Bobak Jon5 Malone,,,,,,,f,,,,
id-486820,Potter Puppet Pals,Potter Puppet Pals,,,,,,,f,Group,,,
rec-489236-dup-0,Masaya,Mazava,,,,,,,f,Person,Female,,
id-960458,$auce,Sauce,,,,,,,f,,,,
id-704533,Hot Vamp Club,Hot Vamp Club,2009,3,,,,,f,Group,,,Indie-rock quartet from London and Bournemouth
id-1767779,Joe Ressington,Ressington Joe,,,,,,,f,Person,,,Jupiter Broadcasting
id-1241636,Xes Dreams,Xes Dreams,,,,,,,f,Group,,,
id-1118767,Recitation,Recitation,,,,,,,f,Group,,,Doom Metal from Denmark
id-487412,Accidental Angels,Accidental Angels,,,,,,,f,Group,,,
id-864179,Tiaam Basho,Basho Tiaam,,,,,,,f,Person,Male,,
id-912995,Anthoney,Anthoney,,,,,,,f,Person,,,
id-158615,David Harness,Harness David,,,,,,,f,Person,,,
rec-1050620-dup-0,KucckMaIch,KucckMaIch,,,,,,,f,,,,
id-675901,Louise Massey and The Westerners,Massey Louise and The Westerners,,,,,,,f,Group,,,formerly The Massey Family 1934
id-366692,Jewels Newton,Newton Jewels,,,,,,,f,Person,,,
id-408248,Blero,Blero,,,,,,,f,,,,
id-713134,Into the White,Into the White,2007,11,,,,,f,Group,,,
rec-258301-dup-0,Vincent A4taud,Artaucl Vincent,1970,,,,,,f,Person,Male,,
id-811457,4-You,4-You,,,,,,,f,,,,
id-685212,Gray Ghost,Ghost Gray,2007,,,,,,f,Group,,,Sludge/ hardcore band from Atlanta GA
id-1404230,Hex Cougar,Hex Cougar,,,,,,,f,,,,
id-1658608,Talweg,Talweg,,,,,,,f,Group,,,A free metal duo from France
id-912193,Dana Romanello,Dana Romanello,,,,,,,f,Person,Female,,
rec-690624-dup-0,dÜsenrrieb,dÜsendrieb,1972,,,2009,,,t,Person,,,
id-295463,Caroline Soul,Caroline Soul,,,,,,,f,Group,,,
id-645242,Ripplegroove,Ripplegroove,,,,,,,f,Group,,,
id-836753,Mott and the Scavengers,Mott and the Scavengers,,,,,,,f,,,,Featuring Matt from Caravage
