release_group,name,artist_credit,type
id-2164405,A Drop in the Ocean,id-2424372,1
id-835706,Music for Theatre and Radio Play,id-616678,1
id-1055804,Hyper Exaggeration,id-795542,2
id-496532,Dub Plate Pressure / Getting Busy Beardsley mix,id-1489045,
id-1600300,Penthouse View,id-1581026,1
rec-1266814-dup-0,Kom i9en,id-1149137,2
id-657514,LIVE 75,id-231108,1
id-1462970,Satanic War,id-1391222,1
id-1018891,Dezombification,id-766022,3
id-1073400,October Train,id-827925,3
id-930607,Un Viaje a lo Infinito A Trip to the Infinite Thing,id-690827,1
id-333933,Iris,id-231777,2
id-987404,Vol 1 Presents The State of the World,id-478747,3
id-1205936,Rhythmiana Opus R,id-1553267,1
id-483256,Cant Stand It / Floor Control,id-336765,2
rec-686752-dup-0,Absence 0f I,id-503488,3
id-900034,Of Blessed Memory E.P.,id-666066,3
id-1245525,Cloverfield / Bakcheia,id-1133014,2
id-350682,Demo 2004 - 01,id-245624,
id-1812119,HOLD ON SEA,id-2009074,2
id-533329,Pullover vs. Close Your Eyes,id-373767,2
id-992403,Obsession,id-743939,2
id-962526,Bad Will,id-720886,1
id-1012639,Gymnastics for Couples,id-205326,2
id-3072560,Nostalgia,id-3118327,2
id-404041,Strange Geographie,id-284322,1
id-2118890,Liebe,id-2376959,
id-1043432,The Race,id-662690,3
id-2340864,Morningstar,id-2653783,2
id-1067507,Outdoor Adventures EP,id-730714,3
id-805431,Im From The K,id-595229,2
id-1238755,Step Back With Johnny Young  Kompany,id-2115975,
id-500286,Parker Street Cinema,id-348321,1
id-715368,Untitled Demo,id-524860,3
id-912197,October 22 2009,id-676029,2
id-326837,Over the Mountain,id-191956,2
id-1125205,Nackt,id-922773,2
id-689955,Hybride,id-505895,1
id-1018406,Zoo Sessions,id-572012,
id-1377522,Le Soleil Noir,id-364231,2
id-899265,Farvel adjø farvel,id-193020,3
id-1182805,Live,id-894660,1
id-1058805,Happy Music,id-797727,2
id-1041805,Lost World / Dead on Time,id-299623,2
id-1041808,Planet Babel,id-785509,3
