medium,release,position,format,track_count
rec-162568-dup-0,id-162568,1,,4
id-2556482,id-2360632,1,1,13
id-1261219,id-1232328,1,1,4
id-774438,id-774438,1,1,2
id-1277774,id-1246086,1,12,1
id-818034,id-818034,1,31,4
id-868516,id-868516,1,,1
id-693644,id-693644,1,1,5
id-567995,id-567995,1,12,3
id-147363,id-147363,1,29,2
id-1350217,id-1309334,1,1,13
id-978850,id-978850,1,,10
rec-716412-dup-0,id-716412,1,31,4
id-940147,id-940147,1,,11
id-460430,id-460430,1,31,4
id-388164,id-388164,1,31,2
id-489349,id-489349,1,31,4
id-498593,id-498593,1,7,2
rec-937024-dup-0,id-937024,1,,2
id-1145997,id-1131685,1,12,1
id-739826,id-739826,1,1,1
id-3089022,id-2841681,1,12,1
id-455408,id-455408,1,12,7
id-3649831,id-3348993,1,12,1
id-274756,id-274756,1,1,8
id-373192,id-373192,1,1,15
id-762211,id-762211,1,31,3
id-2555689,id-2359881,1,12,1
id-702795,id-702795,1,1,12
id-2555686,id-2359878,1,12,1
id-1209687,id-1186946,1,12,4
id-1829493,id-1727117,1,1,11
id-540354,id-540354,1,1,12
rec-525087-dup-0,id-525087,1,,4
id-1333295,id-1294525,1,1,10
id-1524345,id-1461064,1,,5
id-854579,id-854579,1,12,12
id-777165,id-777165,1,12,2
id-1026693,id-1026693,1,,6
id-1054606,id-1052634,1,29,2
id-792044,id-792044,1,1,3
id-465310,id-465310,1,12,6
id-1231180,id-1205570,1,12,1
id-759654,id-759654,1,7,2
id-783269,id-783269,1,12,1
id-1359793,id-1317713,1,1,10
id-1313722,id-1277475,1,29,2
id-941238,id-941238,1,,3
id-1422118,id-1372504,1,1,10
rec-1301229-dup-0,id-1266708,1,31,2
id-737112,id-737112,1,29,2
id-750207,id-750207,1,7,2
id-1270949,id-1240600,1,12,1
rec-897993-dup-0,id-897993,1,1,3
id-500062,id-500062,1,1,4
id-1267370,id-1237722,1,1,1
id-855371,id-855371,1,38,13
id-497376,id-497376,1,1,11
id-273908,id-273908,1,1,4
id-433372,id-433372,1,7,2
id-243372,id-243372,1,,6
id-1905082,id-1793138,1,1,26
id-37398,id-37398,1,,6
id-1214171,id-1190805,1,1,4
id-187158,id-187158,1,1,3
id-592127,id-592127,1,12,1
id-1199956,id-1178355,1,7,3
id-855110,id-855110,1,,8
id-2753557,id-2539341,1,1,13
id-430410,id-430410,1,12,3
id-1114488,id-1104056,1,12,5
id-433197,id-433197,1,31,4
id-952398,id-952398,1,,5
id-1193800,id-1172878,1,31,2
id-1061268,id-1058368,1,12,3
id-180891,id-180891,1,,9
id-2243712,id-2086103,1,12,1
id-3083554,id-2836609,1,12,1
id-1229035,id-1203684,1,29,2
id-394414,id-394414,1,1,21
id-867095,id-867095,1,,5
id-867096,id-867096,1,,5
rec-217969-dup-0,rec-217969-dup-0,1,,2
id-352509,id-352509,1,1,6
id-407893,id-407893,1,12,7
id-765344,id-765344,1,31,3
id-379791,id-379791,1,1,13
rec-3263087-dup-0,id-2997940,1,12,1
id-458557,id-458557,1,1,5
id-332491,id-332491,1,,4
id-212510,id-212510,1,1,2
id-241058,id-241058,1,,3
rec-1333800-dup-0,id-1294972,1,31,3
id-474651,id-474651,1,12,10
id-323979,id-323979,1,29,3
id-791355,id-791355,1,31,1
rec-470818-dup-0,id-470818,1,,9
id-574263,id-574263,1,12,5
id-1234467,id-1208528,1,1,6
id-972183,id-972183,1,,2
id-1095205,id-1087871,1,12,1
id-976400,id-976400,1,,30
id-1101546,id-1093117,1,1,2
id-710627,id-710627,1,31,2
id-704532,id-704532,1,31,3
id-866143,id-866143,1,1,12
id-584712,id-584712,1,7,2
id-876181,id-876181,1,,5
id-1099699,id-1091602,1,,1
id-1042344,id-1042314,1,12,6
id-965489,id-965489,1,1,10
id-868986,id-868986,1,,4
id-3494658,id-3207561,1,12,1
id-3439704,id-3158102,1,12,1
id-206515,id-206515,1,,2
id-1382491,id-1337579,1,31,9
id-192040,id-192040,1,12,2
id-498299,id-498299,1,29,2
id-626928,id-626928,1,31,2
id-1245086,id-1218173,1,1,5
id-2618304,id-2416576,1,12,1
id-2618657,id-2416903,1,12,7
id-534092,id-534092,1,31,4
id-763813,id-763813,1,12,3
rec-245825-dup-0,id-245825,1,,4
id-869587,id-869587,1,1,13
id-1235840,id-1209943,1,31,2
id-1017872,id-1017872,1,,11
id-670502,id-670502,1,1,5
id-1003022,id-1003022,1,,7
id-400509,id-400509,1,31,2
id-1165394,id-1148739,1,1,3
id-297618,id-297618,1,,11
id-298648,id-298648,1,31,3
id-1377095,id-1332957,1,1,14
rec-312794-dup-0,id-312794,1,31,3
id-1007645,id-1007645,1,,16
id-1371806,id-1328238,1,12,2
id-1367366,id-1324380,1,12,3
id-1385915,id-1340550,1,12,8
id-1367363,id-1324378,1,12,3
id-1296718,id-1262710,1,31,4
id-495181,id-495181,1,7,5
id-2248990,id-2090706,1,,1
id-307666,id-307666,1,31,5
id-365258,id-365258,1,1,1
id-2560913,id-2364658,1,12,1
id-798735,id-798735,1,1,9
id-566900,id-566900,1,7,3
id-2693256,id-2485850,1,12,1
id-1340071,id-1300452,1,1,8
id-1901989,id-1790403,1,1,11
id-601039,id-601039,1,1,5
id-730325,id-730325,1,31,2
id-360576,id-360576,1,1,7
id-420834,id-420834,1,1,4
id-1038357,id-1038357,1,,6
id-1002951,id-1002951,1,,17
id-1002950,id-1002950,1,1,15
id-485834,id-485834,1,12,3
id-752696,id-752696,1,31,4
id-2697778,id-2489871,1,12,1
rec-687924-dup-0,id-687924,1,12,3
id-402861,id-402861,1,31,2
id-971278,id-971278,1,,4
id-629139,id-629139,1,31,4
id-455678,id-455678,1,12,5
id-73191,id-73191,1,,10
id-907051,id-907051,1,,4
id-1827345,id-1725325,1,12,1
id-1220537,id-1196184,1,12,2
id-995324,id-995324,1,,6
id-716718,id-716718,1,,10
id-1155657,id-1140230,1,12,4
rec-273908-dup-0,id-273908,1,1,4
id-3904162,id-3583404,1,12,1
id-318612,id-318612,1,34,4
id-854763,id-854763,1,,5
id-672907,id-672907,1,,4
rec-1040097-dup-0,id-1040097,1,,12
id-747995,id-747995,1,1,3
id-663813,id-663813,1,31,3
id-1010245,id-1010245,1,1,14
id-663811,id-663811,1,31,2
id-507915,id-507915,1,1,2
id-518042,id-518042,1,1,15
id-1659219,id-1580033,1,1,4
id-868728,id-868728,1,,3
