label,name,label_type,area,ended
id-189793,Generation HEX,,,f
rec-186974-dup-0,Mammutg Music,,,f
id-118707,True Colours,Production,,f
id-118700,Ancient Language Records,,,f
id-206225,Near The Edge Editions,,,f
id-119650,Far Away Records,,,f
id-195678,Soundwave on Duty,,,f
id-153937,Mohofusu Records,Production,,f
id-200680,Madame Contagious Ltd,,,f
id-59673,Big Time Club,,,f
id-5234,Weton-Wesgram,Production,id-99562,t
id-188206,Village Recorders,Publisher,,f
id-185780,Tight Natural Productions,,,f
id-149244,DUNNO Recordings,,id-501,f
id-127894,Teen Records,,,f
id-243115,Arctic,,,f
rec-55904-dup-0,Futuredjy Music,,,f
id-116946,Graylan Management Ltd.,,,f
id-127787,Esselgy Records,,,f
rec-111104-dup-0,Zónz,,,f
rec-191974-dup-0,ArrBeat Records,,,f
id-21661,Final Hour Entertainment,Original Production,,f
id-188065,Star-Glow Records,,,f
id-204816,Babb Music,Publisher,,f
id-186822,StreetMule,,,f
id-251836,Grimey Limey,,,f
id-101642,Saliva,,,f
id-164912,Twin Bros Music,Publisher,,f
id-121819,Low-Sal Music Co.,,,f
id-182032,Guilhotina,,,f
id-164916,Prince Kay One GmbH,,,f
id-80046,Prolific Dubbs,,,f
id-153028,Easy Listening,,,f
id-201796,Alrealon Musique,Production,,f
rec-146543-dup-0,Damajk Music,Publisher,,f
rec-108117-dup-0,My Jamaican Musoc,,,f
id-210014,LNDKHN,,,f
id-228308,Silent Xords,,,f
id-182252,The Old Professors Music,Publisher,id-83858,f
id-74339,Twenty Ten Music,,,f
id-157355,Ephemera Archives,,,f
id-166285,nnnrecords,,,f
rec-217699-dup-0,Libelluoe,,,f
id-229098,Spencer Productions Ltd.,Holding,,f
id-80191,Lalouline,,,f
id-101905,Torcaza Records,,id-98670,f
id-96187,Sodapop Records,,,f
id-231076,Uncle Buddies Music Inc.,Publisher,,f
id-201304,Fallen Tree 1Hundred,,,f
id-106793,Kaboom Music,Production,,f
id-143415,C.R. Records,,,f
id-167006,Heel.zone,Production,,f
rec-3433-dup-0,Jet Rekords,Original Production,,f
id-126208,Lago Film GmbH,,,f
id-56154,Urban Umpires Unlimited,,,f
id-245356,Twenty Something,,,f
id-238264,DK Eentertainment,,,f
id-135271,SOMICO,,,f
id-237732,1AD,,,f
rec-189995-dup-0,Turpobandit Records Ltd,,,f
id-160296,Self-Destruction,,,f
id-194502,Сириус-Медиа,,,f
id-240835,Apollo Music S.A.,Original Production,,f
id-171112,Tpass,,,f
id-151511,Blue Suit,,,f
id-70320,Promotion des Cultures du Monde,,,f
id-64471,Gemlike Records,,,f
id-128017,Giddy Swells,Publisher,,f
id-252845,dimamedia,,,f
id-63150,Great Big Mouth Records,,,f
id-143085,Edition Fuhuru,Publisher,,f
id-86619,Token Productions,Original Production,,f
id-176933,Stench of Carnage Tapes,,,f
id-142731,BITWAVE,,,f
id-112539,Rasetsu Records,Original Production,,f
id-215276,DGN 660,,,f
id-192862,Dream Beach Records,,,f
id-247682,CAIN MUZIK,,,f
id-50250,Gallery Music Publ.,Publisher,,f
id-250376,Dödstil,,,f
id-97116,Elite Base,,,f
id-192047,Modified Suede Recordings,,,f
rec-243496-dup-0,Ls Pépite,,,f
id-218101,Lucifer Productions,Original Production,,f
id-145961,Arbors Records Inc.,,,f
id-143394,Legend,,,f
id-215180,MAC MAID RECORDS,,,f
rec-66850-dup-0,EMI Stvdio DRM,Imprint,,f
id-165081,NOWMerryXmas3,Imprint,,f
id-244481,Kal Records,,,f
id-112750,Solid Waste Music,Publisher,,f
id-247463,Spirit Nashville One Crescendo,Publisher,,f
id-180061,Acid Sonic Research,Original Production,,f
id-252626,Watchtower Collective,,,f
id-195480,Akashic Envoy Records,,,f
id-192599,Twenty One Eighty Two Recording Company,,,f
id-101691,DLG Digital,,,f
id-235616,Perseverance Media Group,,,f
id-67673,Editori per lItalia,Publisher,,f
id-88291,Southern Hospitality,,,f
id-169463,Limitless Audio,,,f
id-132520,Fuck All Record Companies,,,f
id-188305,Swemix Productions,,,f
id-157036,Onbones Collective,,,f
id-188650,Lim Lum Music Productions,,,f
id-153902,Rabben Records,Production,,f
id-207328,Bodach,,,f
id-61634,Inner Knot,,,f
rec-94818-dup-0,Right Tracck Records,Distributor,,f
id-73170,S-Rock Music Production,,,f
id-231916,Xtacy Records,Imprint,,f
rec-127787-dup-0,Esselgy Rec0rds,,,f
id-82619,Cinematic Records,,,f
id-117955,EUN Records,Production,,f
id-174081,Right  Exact Records,,,f
id-96608,SoulbSoul,,,f
id-72250,Deep Rush Records,,,f
id-216174,New Line Music,,,f
id-157103,Gallerie Dessford Vogel,,,f
id-173056,Here Music,,,f
id-198502,Splanga Records,,,f
id-207438,Dark Habits,Imprint,,f
id-66035,1st Take Music Inc.,,,f
id-184790,Song Garden Music Group,,,f
id-236839,Ostring Records,Production,,f
rec-169316-dup-0,Etern Rec0rds,,,f
id-130632,Mazedude Music,,,f
id-251849,Bowling Records,,,f
id-185049,Body Of Armed Men Distribution,,,f
id-229157,Hip Code Records,,,f
id-138399,Lupine Music,Publisher,,f
id-158242,Oasys Virtual Entertainment Productions,Production,,f
id-101114,Kraddylab,,,f
id-146543,Damask Music,Publisher,,f
id-120023,ChaCha Records,,,f
id-191109,Musicity,,,f
id-31719,Intaglio,,,f
id-207882,Candlelight Records USA,Bootleg Production,,f
rec-224702-dup-0,Emy Producdion,Original Production,id-95814,t
id-175592,Juke Bounce Werk,Original Production,,f
id-141809,Flyhi Productions,Publisher,,f
id-141806,N4300 W8752,,,f
rec-214143-dup-0,Violet Nights Recordinbs,,,f
id-141803,Caprice Records Sweden,,,f
id-90132,Cathedral Sonics,,,f
rec-152033-dup-0,Match Mu5ic,,id-54410,f
id-153472,Digi Classics,Publisher,,f
id-55904,Futuredge Music,,,f
id-106566,The White Label B.V.,,,f
id-244928,Levels Entertainment,Publisher,,f
id-133600,Anelia Prod,Original Production,,f
id-242899,EMI His Masters Voice DRM,,,f
id-173862,Lenfant terrible,,,f
id-143461,goodnight berlin,,,f
id-175041,Ciné Nada Music,Publisher,,f
id-43162,Spontaneous Records,,,f
id-156167,Bato Discos S.A.,Imprint,,f
id-135269,Bro Safari Music,Distributor,,f
rec-169333-dup-0,Beehive Recorts,,,f
id-233578,Cube Studio,Distributor,,f
id-160755,Sub Society,Imprint,,f
rec-235984-dup-0,Tech Abenue Records,,,f
id-244814,Mosaic,,,f
rec-198527-dup-0,EverLe Recorts,Production,,f
id-157598,Spectrum of Mana,,,f
id-246986,Heroinface Records,,,f
