release_group,name,artist_credit,type
id-319239,Chitty Chitty Bang Bang,id-840183,1
rec-315537-dup-0,Smile,id-45280,1
id-1240120,Мачете,id-1125717,1
rec-95538-dup-0,Ultra Rare Tori,rec-60-dup-0,1
id-1261215,In the Darkest Corners of Human Nature,id-1154208,1
rec-698714-dup-1,20080305 Tipitinas New Ofleans LA USA,id-1181,1
rec-315537-dup-1,Smkle,id-45280,1
id-802087,Sver,id-592738,1
rec-698714-dup-0,20080305 Tipit'lnas New Orleans LA USA,id-1181,1
id-52865,Tenebrae Vision,id-35217,1
id-832438,Portland 200,id-2076,1
id-1221903,20090928 SeneyStovall Chapel Athens GA USA,id-113460,1
id-932829,Top Hits USA T124,id-1,1
rec-876606-dup-0,Tension Jazz Themea From Italian Movies,id-417023,1
id-1244723,Mega Dance 1999 Volume 2,id-1,1
id-1077870,The Many Moods of,id-713238,1
rec-1901917-dup-1,The Towm,id-1964244,1
rec-616874-dup-0,Girls and Boys,rec-362053-dup-1,1
id-1035871,Big Beat Electronica,id-1,11
id-1281583,Piraten ahoi,id-1189105,1
rec-577050-dup-0,Le Bal l900,id-411947,1
id-1380643,Trip Two Isle Of Mabrax,id-1318209,1
id-1245663,Shakin With the Devil,id-440483,1
rec-428506-dup-1,Everywhere Is a Strange Part of Somewhere,id-302017,3
rec-428506-dup-0,Everywhere Is a Strange Part of Someqhere,id-302017,3
id-388161,A Series of Unfortunate Events Book 11 The Grim Grotto,id-128737,11
id-885619,Im Original Glenn Miller Sound,id-223910,1
id-270192,Rude Boy,id-8751,1
id-1872922,NEW DANGANRONPA V3 OST WHITE,id-385963,1
rec-822840-dup-0,twelve message,rec-553379-dup-0,1
rec-454637-dup-0,Livw in Your Face,id-59387,1
id-2978415,Potłuczone Aureole,id-784927,1
rec-1000505-dup-0,Saxopnone Concertos,id-2424748,1
rec-468921-dup-0,No Mom5 Land,id-251315,1
rec-860987-dup-1,Päeyakera,id-634733,1
id-1634118,30th Anniversary of Nexus Years Limited Collectors Box,id-1217205,1
rec-1234026-dup-0,Live at Namba Bears,rec-1116858-dup-0,1
rec-896751-dup-1,Kin0apparatom,id-1081208,1
id-900922,Chilled Rock,id-659338,11
rec-1290023-dup-0,Skitarg,id-1202781,1
rec-1290023-dup-1,Skitarv,id-1202781,1
id-1205934,Apeshit A Mixtape Tribute to The Gorillaz,id-1026249,1
rec-1093388-dup-0,Light3rs Up,id-856381,1
id-980366,Woodpecker,id-735589,1
id-1806634,Heater,id-125931,1
id-294027,Porno Party,id-810578,1
rec-576490-dup-0,Aeon 3,rec-365813-dup-0,1
rec-626227-dup-0,Southern Winds,rec-8718-dup-0,1
rec-1291429-dup-1,Kaikki ikivlhreät,id-30544,1
rec-1291429-dup-0,Kaikki ikivihreät,id-30544,1
rec-663759-dup-0,Earyhen,id-470993,1
id-563471,Spankys Greatest Hits,id-46743,1
rec-898785-dup-1,Suddebly,id-33256,3
rec-898785-dup-0,Siddenly,id-33256,3
id-660465,20060613 The Ambassador Dublin Ireland,id-10193,1
id-387156,Salsa Dance Class The Real Deal,id-1,1
id-745902,In Living Black and White,id-12151,1
id-760854,Livehaftig und krank,id-469503,
id-2900041,Jef Lee Johnson Primer,id-3591,1
id-1280363,Burning Down,id-189446,3
id-293876,太陽系亞種音,id-1169077,1
id-340324,Customs,id-180143,1
id-732653,20080614 Download Festival 2008 Donington Park UK,id-296923,1
rec-876606-dup-1,Tension Jazz Themes Fron Italian Movies,id-417023,1
id-330827,Nanoalbum,id-229912,1
rec-935516-dup-0,Requiem pour |es sourds,id-61383,1
id-74887,For the First Time,id-45713,1
id-127785,Günebakan  Dünyanın Kapıları,id-93850,1
rec-586092-dup-0,Pretty Girls Make Good Blanket,id-419252,1
id-810697,Oriental Art Music,id-454021,1
id-141714,Kansas City 1972,id-22492,1
id-249996,The Second,id-1699,1
id-1381064,A Blue Book,id-1318662,1
rec-2613499-dup-0,Wicked Business,rec-486532-dup-0,11
id-627697,Dellimpero delle tenebre,id-450416,1
rec-437910-dup-0,Breakaway,id-74202,1
id-901295,The Next Stage,id-808037,11
id-308864,The Classic Early Recordings,id-3755,1
id-1181299,Twerk,id-3222948,2
id-295468,Start Breaking My Heart,id-3356053,1
id-2617363,19261940,id-8818,1
id-783668,Eu e o Samba,id-107434,1
id-683489,Ghost Days,id-117130,1
id-1145776,Cartolas Band 2003,id-958795,1
id-3074338,artificial outsider,id-1122289,1
id-152866,Donkey Kong Country 2 Diddys Kong Quest,id-179585,1
id-483411,Lemon Malarkey,id-336875,1
rec-1898241-dup-0,Music With No Name Volume One,id-1,1
rec-2114606-dup-1,Grimlenz,id-2372469,1
id-497419,6 Richtige,id-346601,1
id-729643,The Andy Williams Sound of Music,id-32737,1
id-684330,ScheißKapelle Live,id-1079157,1
id-207547,Hellboy Original Motion Picture Soundtrack,id-82973,1
id-191319,Life Blood,id-24287,1
id-1047256,Back to the 60´s,id-359569,1
id-742825,Songs About Feelings,id-545963,1
id-1193335,Dusty Rainbow From the Dark,id-242684,1
id-2556461,Month of Madness Vol 7,id-67117,1
id-938070,Blackbud,id-193186,1
rec-63476-dup-0,Vibes Fron the Tribe,id-40154,1
id-894556,Piano and Orchestra 1,id-20886,11
id-874023,Edward H Mewn Bocs,id-283289,1
id-41797,Jody Davis,id-24575,
id-946231,News Promos Volume 3,id-1,11
id-269805,Tanzverbot Schill to Hell,id-992751,2
id-372610,Resident Evil Apocalypse,id-818983,1
rec-489355-dup-0,Collecti0n,id-65586,1
rec-489355-dup-1,Collection,id-65586,1
id-658374,19940903 Folky nefolky Helfštýn Czech Republic,id-21949,1
id-171803,Godt Ord Igen,id-129722,1
id-776583,All Star Jazz,id-572546,1
rec-631334-dup-0,Master Série Volume 3,id-41543,1
id-103601,Cryptic Crunch,id-66400,1
rec-2166242-dup-1,Sandmaj,id-1674801,1
id-1531092,Suddenly,id-1485649,1
id-486286,US Pop Life Volume 11 California Post Punk Looking for the Perfect Glass,id-1,1
id-1069716,Zeichen,id-59206,1
rec-191601-dup-0,Too Fazt for Love,id-36594,1
id-210012,Le Cimetière des éléphants,id-10558,1
id-345348,Live in London,id-33058,1
id-163105,Christmas With the Stars,id-1,1
id-673199,Radio Lupo solitario,id-1,1
id-1967455,Tigers of the Year,id-2122925,1
rec-896751-dup-0,Kinospparatom,id-1081208,1
id-228309,Mehr Jazz sagten die Frauen,id-371288,1
id-167175,Mother Goose  More,id-44434,1
rec-347649-dup-0,Presentong Harry James,id-3356,1
id-1299250,Doctor Who Covers,id-1214770,11
id-1113793,The Explorers Hold,id-891223,3
id-719460,ソウルの追求,id-527371,1
rec-1335281-dup-0,Creatw,id-1259921,1
rec-1903982-dup-0,Ertaiii,id-2133700,3
rec-1185130-dup-0,Gone Countty,id-1,11
id-753241,Volume 4 19371940,id-31535,1
id-772078,Raw Yang,id-569628,1
id-1085274,3 Original CDs,id-387,1
id-1254215,Nisi Dominus RV 608  Dixit Dominus RV 594  Stabat Mater RV 621,id-1168462,1
