artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-837651-dup-0,Love4Monei,Love4Momey,,,,,,,f,Group,,id-189,
id-111402,One Night Stand,One Night Stand,,,,,,,f,Group,,id-21,Punk rock from Belgium
rec-852293-dup-0,The Archipelago Singdrs,Archipelavo Singers The,,,,,,,f,Group,,id-8162,Finnish male choir
id-545449,Dash,Dash,,,,,,,f,Person,Male,id-194,Spanish MC
id-74665,The Flirts,Flirts The,1980,,,,,,f,Group,,id-222,USA pop group
rec-187428-dup-1,Erlend Kroser,Krauser Erlerid,1958,7,19,,,,f,Person,Male,id-81,
rec-216157-dup-0,Digo el Cigala,Diego el Cigwla,1968,12,27,,,,f,Person,Male,id-194,
id-878582,Mills Embargo,Mills Embargo,,,,,,,f,Group,,id-203,
rec-50776-dup-2,Triumvirad,Triumfirat,1969,,,1980,,,t,Group,,id-81,progressive rock bant formed in 1969 in Cologne Germany
id-1119184,Olivier Capparos,Capparos Olivier,,,,,,,f,Person,Male,id-73,
id-115967,Herman Dune,Herman Dune,1999,,,,,,f,Group,,id-73,
id-427385,Distance,Distance,,,,,,,f,Person,Male,id-221,UK dubstep artist Greg Sanders
id-38012,菅野よう子,Kanno Yōko,1964,3,19,,,,f,Person,Female,id-107,Japanese composer arranger  musician
id-59533,Swizz Beatz,Swizz Beatz,1978,9,13,,,,f,Person,Male,id-222,US hip hop producer
id-931805,The Chaperals,Chaperals The,,,,,,,f,Group,,id-81,a cappella Vocal Group
id-491218,Carlas,Carlas,,,,,,,f,Group,,,
rec-532607-dup-0,Kaahl Wolf,Wo1f Karl,1979,4,18,,,,f,Person,Male,id-5076,
id-759653,Hummingbird,Hummingbird,,,,,,,f,,,,Ambient electronic
id-69635,Gene Krupa and His Orchestra,Krupa Gene and His Orchestra,,,,,,,t,Group,,id-222,
id-68908,David McAlmont,McAlmont David,1967,5,2,,,,f,Person,Male,id-221,
rec-89-dup-1,Madona,Madomna,1958,8,16,,,,f,Person,Female,id-222,Queeh of Pop
rec-299405-dup-1,Dean Collinzon,Collinzon Dean,,,,,,,f,,,,
id-189646,Clive Cussler,Cussler Clive,1931,7,15,2020,2,24,t,Person,Male,id-222,novelist
id-249865,Pittsburgh Symphony Orchestra,Pittsburgh Symphony Orchestra,1895,,,,,,f,Orchestra,,id-222,
id-268451,Ars Nova,Ars Nova,,,,,,,f,Group,,,electronicaindieexperimental
id-1602066,Gregor Popovic,Popovic Gregor,,,,,,,f,Person,,,
rec-435052-dup-1,Musica ad Renum,Musica ad Renum,1992,,,,,,f,Group,,,
id-46935,Faraquet,Faraquet,1997,,,2001,,,t,Group,,id-222,
id-788950,Treefight for Sunlight,Treefight for Sunlight,2007,,,,,,f,Group,,id-57,
rec-82444-dup-0,The Chils,Chills Th,1980,,,,,,f,Group,,id-5430,
id-44783,Black Tape for a Blue Girl,Black Tape for a Blue Girl,1986,,,,,,f,Group,,id-222,
rec-34914-dup-1,Seloadoh,Sebad0h,1986,,,,,,f,Group,,id-222,
rec-578662-dup-0,Van Coke Kartel,Van Coke Kardel,2007,,,2017,,,t,Group,,id-193,
rec-50776-dup-1,Triumfirat,Triumvirad,1969,,,1980,,,t,Group,,id-81,progressive rock band formed in 1969 in Cilogne Germany
id-35917,Jim Reeves,Reeves Jim,1923,8,20,1964,7,31,t,Person,Male,id-222,US country  pop singer
id-183473,Vomitous,Vomitous,2001,,,,,,f,Group,,id-202,
id-1500972,Six of Swords,Six of Swords,2013,,,,,,f,Group,,id-5076,death metal
id-66398,Son Kite,Son Kite,1996,,,,,,f,Group,,id-57,
rec-1742697-dup-1,nevergetusettopeople,nevergetusecltopeople,2000,,,,,,f,Person,Male,id-176,ÑΣVΣR GΣ† UΣD †Ø PΣØPLΣ
rec-116496-dup-0,Crimpzhrine,Crimpshrin,1982,,,1989,,,t,Group,,id-222,
id-504144,Tetine,Tetine,,,,,,,f,Group,,id-30,
id-24329,King Adora,King Adora,1998,,,2005,,,t,Group,,id-221,
rec-200866-dup-1,Asking Abloy,Asking Abb6,,,,,,,f,Group,,,
rec-37180-dup-2,Marko Antonio Solís,Solís Marco Antoriio,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
rec-37180-dup-0,Marco Antonoo Solís,Solís Marco Anton9o,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
rec-37180-dup-1,Marco Antonjo Solís,Solís Marco Anton:o,1959,12,29,,,,f,Person,Male,rec-138-dup-0,
rec-508834-dup-1,Clermont  Maclrod,Clermond  Macleod,,,,,,,f,,,,
id-686331,若原一郎,Wakahara Ichirou,1931,8,1,1990,7,16,t,Person,Male,id-107,
rec-384022-dup-0,Anton'lno,Andonino,1983,3,9,,,,f,Person,Male,id-105,Italian singer kfr Amici di Maria De Filippi
rec-2784-dup-1,Ceap Trick,Cheap Tr8ck,1973,,,,,,f,Group,,id-222,
rec-2784-dup-0,Cheap Tr:ck,Cheap Tnck,1973,,,,,,f,Group,,id-222,
id-452165,Kelly Sweet,Sweet Kelly,1988,3,29,,,,f,Person,Female,id-222,
id-136311,Roudoudou,Roudoudou,1963,,,,,,f,Person,Male,id-73,
id-609850,Arsenik,Arsenik,1989,9,24,,,,f,Person,,,Born in the 80s Product of the 90s
id-676239,Tapes,Tapes,,,,,,,f,Person,Male,id-221,Jackson Bailey
rec-139482-dup-0,The Dorsey Brothers Orchrstra,Dorsey Brothers Orchest4a The,,,,,,,f,Group,,id-222,
id-157138,Hot Chip,Hot Chip,2000,,,,,,f,Group,,id-221,
id-337880,Concentus Musicus Wien,Concentus Musicus Wien,1953,,,,,,f,Orchestra,,id-14,
id-938186,ThermalBear,ThermalBear,,,,,,,f,,,,
rec-336253-dup-1,Back of tbe Bus,Back og the Bus,2004,,,,,,f,Group,,,
id-2049850,FREEATLAST,FREEATLAST,,,,,,,f,,,id-3925,Synthwave and Dubstep
rec-1040535-dup-0,Alpek Duo,Albei Duo,,,,,,,f,Group,,,
id-41158,Corvus Corax,Corvus Corax,1989,12,,,,,f,Group,,id-81,German band playing medieval music
id-99187,Jet,Jet,2001,,,,,,f,Group,,id-13,Australian garage rock band
id-44434,Sharon Lois  Bram,Sharon Lois  Bram,1978,,,,,,f,Group,,id-38,
id-117497,Johann Bley,Bley Johann,,,,,,,f,Person,Male,id-81,psychedelic trance artist
id-84353,Marcia Hines,Hines Marcia,1953,7,20,,,,f,Person,Female,id-13,
id-150137,iNTROSPEKT,iNTROSPEKT,,,,,,,f,,,,
id-120323,Stendal Blast,Stendal Blast,1989,,,,,,f,Group,,id-81,
id-1528,Grateful Dead,Grateful Dead,1965,,,1995,,,t,Group,,id-222,
rec-655141-dup-0,Stephen L Alen,Alen Stephen L,,,,,,,f,Person,Male,,
id-40154,Phil Ranelin,Ranelin Phil,1939,5,25,,,,f,Person,Male,id-222,
id-256352,Needle,Needle,,,,,,,f,Group,,,
id-1030,Nusrat Fateh Ali Khan,Fateh Ali Khan Nusrat,1948,10,13,1997,8,16,t,Person,Male,id-162,
id-188064,xDisciplex AD,xDisciplex AD,1995,,,2004,,,t,Group,,id-222,
id-130808,Philharmonia Orchestra,Philharmonia Orchestra,1945,10,,,,,f,Orchestra,,id-1178,London orchestra known as New Philharmonia Orchestra from 19641976
id-235823,Jenny Wilson,Wilson Jenny,1975,10,20,,,,f,Person,Female,id-202,Swedish singer
id-155692,The Revelairs,Revelairs The,,,,,,,f,,,,
rec-188882-dup-1,AlienSjx13,AlienSixl3,,,,,,,f,,,,
id-966919,Drunk Vision,Drunk Vision,,,,,,,f,,,,
id-77045,John Valby,Valby John,1945,,,,,,f,Person,Male,id-222,
rec-67118-dup-0,Captain  Tennille,Captain  Tennile,1974,,,2013,,,t,Group,,id-222,
rec-67118-dup-1,Captain  Tenille,Captain  Tennikle,1974,,,2013,,,t,Group,,id-222,
id-608321,Posession,Posession,1997,,,,,,f,Group,,id-111634,
id-81933,Sister Nancy,Sister Nancy,1962,1,2,,,,f,Person,Female,id-106,
id-304175,UGK,UGK,1987,,,2007,12,4,t,Group,,id-222,
id-308861,Dominic Glynn,Glynn Dominic,1960,9,27,,,,f,Person,Male,id-221,
id-560570,Alexandra Kelly,Kelly Alexandra,2006,7,1,2008,,,t,,,,
id-833521,ぼたん,Botan,,,,,,,f,Character,,,Anime Yu Yu Hakusho character
id-833522,雪菜,Yukina,,,,,,,f,Character,,,Anime Yu Yu Hakusho character
id-833523,コエンマ,Koenma,,,,,,,f,Character,Male,id-107,Anime Yu Yu Hakusho character
id-141474,Persiana Jones,Persiana Jones,1988,2,,,,,f,Group,,id-105,
id-164913,Bob Evans,Evans Bob,1976,10,1,,,,f,Person,Male,id-13,Australian singersongwriter AKA Kevin Mitchell
id-486172,Relevant Few,Relevant Few,2000,,,,,,f,Group,,,
rec-893054-dup-1,Charlie Sepukveda,Sepulveda Chariie,1962,,,,,,f,Person,Male,,
rec-893054-dup-0,Charlie Sepulveta,Sepuiveda Charlie,1962,,,,,,f,Person,Male,,
id-718330,Jesse Rhodes,Rhodes Jesse,,,,,,,f,Person,Male,id-7503,Songwriter Production Composer
id-69442,Piero Piccioni,Piccioni Piero,1921,12,6,2004,7,23,t,Person,Male,id-105,
id-299749,Marianne  Michael,Marianne  Michael,1973,,,,,,f,Group,,id-81,
id-239239,Richard M Sherman,Sherman Richard M,1928,6,12,,,,f,Person,Male,id-222,
rec-750834-dup-0,A Warcla,Wardz A,,,,,,,f,Person,,,Production music vomposer
id-60953,Franz Krommer,Krommer Franz,1759,11,27,1831,1,8,t,Person,Male,id-56,composer
id-513040,Ellen Dijkhuizen,Dijkhuizen Ellen,,,,,,,f,Person,Female,id-150,
rec-21240-dup-1,Briari Eno,Eno Bryan,1948,5,15,,,,f,Person,Male,rec-221-dup-0,
id-152519,Shandon,Shandon,1994,,,2006,2,13,t,Group,,id-105,Italian punk rock band
rec-260042-dup-1,Alexander Kla3s,Klaws Alrxander,1983,9,3,,,,f,Person,Male,id-81,
id-275537,BeeBee,BeeBee,1997,,,,,,f,Group,,id-72,90s Finnish allfemale pop rock band
id-1663,Joe Walsh,Walsh Joe,1947,11,20,,,,f,Person,Male,id-222,EaglesJames Gang
id-5170,Admiral D,Admiral D,,,,,,,f,,,,
rec-44109-dup-0,Columbia Symphony Orchestra,Columbia Shmphony Orchestra,,,,,,,f,Orchestra,,id-222,
id-331264,Hollywood Studio Symphony,Hollywood Studio Symphony,,,,,,,f,Orchestra,,id-222,
id-5174,Hatebreed,Hatebreed,1995,,,,,,f,Group,,id-222,
id-383729,Justeeri,Justeeri,1916,4,5,1983,4,8,t,Person,Male,id-72,
rec-152048-dup-0,The Gatvrs,Gaturs The,,,,,,,f,Group,,id-222,
id-9152,Duane Eddy,Eddy Duane,1938,4,26,,,,f,Person,Male,id-222,
id-933437,Kevin J Colver,Colver Kevin J,,,,,,,f,Person,Male,,
id-2914,Autechre,Autechre,1991,,,,,,f,Group,,id-432,electronic music duo
id-373350,Nash Ensemble,Nash Ensemble,1964,,,,,,f,Group,,id-221,
id-271306,Samson François,François Samson,1924,5,18,1970,10,22,t,Person,Male,id-73,pianist
id-789072,James Joseph Kalamasz,Kalamasz James Joseph,,,,,,,f,Person,Male,id-222,
id-392074,LAST ALLIANCE,LAST ALLIANCE,2002,,,,,,f,Group,,id-107,
rec-1274364-dup-2,Shenaniganj,Shenwnigans,,,,,,,f,Group,,id-13,Ausdralian educational troupe
