place,gid,name,place_type,address,area,coordinates,ended
2752,ba7733f7eed44bf4a75837c30f516625,MECCA,Other,,12057,,t
1251,c4f9728f491049469d9c6a53c84fcc2e,David Geffen Hall,Venue,10 Lincoln Square 132 NY 10023,116093,4077277873983056,f
1589,5bf4e91975d24de7910cef31e1d71991,Parque de Santa Catalina,Park,,12783,281405154306,f
33642,ee7ece5fc96249758bbd7dd84db9a45c,三鷹市芸術文化センター,Other,〒1810012 東京都三鷹市上連雀61214,118302,35700587139561703,f
28995,09c239dbc2ed453bb9fc843a621158b6,Nood Factory Tonstudio,Studio,,653,,f
51487,fa17317d707545e3a9360a91e0a1332e,SLASH SOUND STUDIO,Studio,,107,,f
49888,9dbaa5205aee4943bccf08cfd7e55e76,RoundSound,Studio,Telliskivi 57 10412,5111,,f
22109,ccb5da21d6cb4eda9e384e30c8f5269d,McDonald Theatre,Venue,1010 Willamette St Eugene OR 97401,45171,4404851512309306,f
10972,e698182163634753abb90ed5cc25404a,Nevessa Productions,Studio,18 Artist Ln Saugerties NY 12477,59394,,f
9420,e4a91b964ada4fbdbf00e94d08aa6152,Wireland Studios,Studio,,30632,,f
8762,ba98c64aba2342abbd3542011c62480d,Bowling Otter Studios,Studio,,,,f
6975,fcf0d8d25d62486bb4ae582eb30a6f24,Bilgi Üniversitesi Kuştepe Kampüsü,Other,İnönü Cad No 6 Kuştepe 34387 Şişli İstanbul,5065,410726712899079,f
3015,ede5281aa94f47dc9db518a6cbe6ae43,Coliseu dos Recreios,Venue,Rua Portas de Santo Antão 96 1150269,5062,387167339140175,f
31209,aa6ec04afa554df896b25f27b1351166,Säälchen,Venue,Holzmarktstraße 25 10243 Berlin,326,5251140913427082,f
4345,b6762203735a424d88ef1642cf07139b,Tartu lauluväljak,Venue,Laulupeo puiestee 25 51007,5180,5838822626702817,f
29995,db14ec1fa90d4073a1fdd16a688f74ef,MRA Arena,Indoor arena,,3926,,f
46803,a75cea354958476ba6e9ba156acb2112,The Cosmic Dust Recorders,Studio,,7703,,f
36809,b25aa1ec3fe44efca705f3e4b719094f,The Mixing Lab,Studio,,7339,,f
57093,d95347654a3a416cbe75a90834e37d42,Hard Rock Café Dublin,Venue,12 Fleet St Temple Bar Dublin D02 NW56,9622,,f
37470,39357e8af8754bf7bf239f974f5e58fb,Crosby Hall,,,1178,,t
14675,dc34c3e931ea4c90a9fdfc218801bc0d,Music Hall,Venue,,326,,f
1058,648d02110fb34dd4bbf61d33697243de,Twilight Hall Studios,Studio,GrefrathOedt Germany,72200,,f
7714,4aab83f116da42e0a964085b2dd2fdfe,Laboratorio Soyuz,Studio,,194,,f
49980,4d3ff78f673f4e418c3d14ac42a63435,Commercial Recording Studio,Studio,1120 Chenevert,7326,,f
25622,275cd2510bc74a728a950438faabfaea,National Guard Armory,Other,Ocean Avenue Long Branch NJ USA,28034,,f
2930,69e21a9e53b74962a28072fefb1d51ac,Neuwerkskirche,Religious building,Klostergang 3 99084,8851,5097232911025019,f
6652,b0cd9fc1397049619c5ab68bdf5cc2f9,Piazza Napoleone,Other,Piazza Napoleone 27 55100 Lucca LU Italy,14228,4384139710502667,f
48999,e1470db182814708aa9308a6a4ebfa4b,Rittergutschloss Taucha,Other,Haugwitzwinkel 1 04425 Taucha Germany,69995,5138149512497367,f
13576,1b545c38040d4ad4b0e7fd23595d6e0d,Maverik Center,Indoor arena,3200 Decker Lake Drive West Valley City UT 84119,23377,4070285111950616,f
42285,dae25ca6f800403cb7057b3112590e9a,Wicked Wahine,,,273,,f
28655,c3dd3217dc554a808260e1c4374720ef,Eventhusetcom,Venue,Vretensborgsvägen 5 12630 Hägersten Stockholms Län Sweden,5114,592991418017704,f
14182,d5c4506a014145ccb34bd24217691de5,Engfelt  Forsgren Studios,Studio,,,,f
48716,f3a70b0270d44d06b224bb656fe3cb0a,The Mona Museum,Educational institution,655 Main Rd Berriedale TAS 7011 Australia,119391,42812778147261111,f
22314,0b0fc96779324e86ae40b0f45f4e0d44,Space Velio,Studio,,397,,f
52446,e846dab001a34e5492672b5138b8ec6b,UNICAMP Universidade Estadual de Campinas,Educational institution,,88767,,f
