artist_credit,position,artist,name
34227,0,34227,Steve Haun
2478203,0,1809541,Chris Clark
5040,0,5040,Hawkwind
635355,0,635355,Chayag
25,0,25,Pavement
1706,0,1706,Jaci Velasquez
143501,0,143501,The Zutons
32506,0,32506,Aesop Rock
170778,0,170778,松尾早人
218697,0,218697,Dustin OHalloran
281399,0,281399,Pushkar
2936734,0,797811,Fabian Müller
1103692,0,959255,Raising Miss June
12,0,12,Giant Sand
125376,0,125376,Paul Stinga Orchestra
245870,0,245870,Brad Walsh
174104,0,174104,Alberta Casey
541669,0,541669,Heiden
3418,0,3418,Fats Domino
678274,0,678274,Valborg
1338,0,1338,Jerry Goldsmith
946602,0,868071,Uku Kuut
1518701,0,1138677,Michael Palmer
190590,0,190590,Julian Fane
1111,0,1111,Soundgarden
121885,0,121885,Arletty
22590,0,22590,Chris Smither
5236,0,5236,Carol Sloane
769555,0,769555,Icona Pop
1135318,0,90133,Membranes
169160,0,169160,Santana
193885,0,193885,Danças Ocultas
2006738,0,1513549,This Awakening
786999,0,786999,Keishi Yonao
677116,0,677116,Jennifer Thomas
46843,0,46843,The Feelers
704235,0,704235,Palo Chodelka
821473,1,717052,William Franklin Lee
821473,0,714016,Christopher E Hajian
327588,0,327588,Nic Chagall
3073196,0,2207691,No More Hope
71199,0,71199,Dive
129655,0,129655,Lil Raskull
2487721,0,1861990,Svatan
1122289,0,973807,ifls
55410,0,55410,Hollywood Fats
720539,0,720539,Aaron Briggs
1018837,0,909244,Twisted Linguistics
3806,0,3806,Lata Mangeshkar
547537,0,547537,Abuso Sonoro
689965,0,689965,The Department of Drama of The Catholic University of America
5090,0,5090,Criminal
208486,0,208486,The Stupids
77089,0,77089,Haus Arafna
290280,0,290280,Club Killers
23969,0,23969,Carlene Carter
84915,0,84915,King Kurt
2195744,0,1647094,Geneviève Leclerc
405833,0,405833,Peter Fletcher
6366,0,6366,The Bluebeats
1021,0,1021,Ludwig van Beethoven
45442,0,45442,Mississippi Fred McDowell
126062,0,126062,The Blamed
371454,0,371454,東京エスムジカ
31535,0,31535,The Mills Brothers
135547,0,135547,佐藤直紀
1472600,0,1222146,Silver Pozzoli
976473,0,887968,Black Bottle Riot
63503,0,63503,Frank London
187,0,187,Marilyn Manson
2376142,0,1784909,Wm Abraham Restum
120423,0,120423,Antonio Pinto
1478548,0,1234977,Puig Destroyer
277835,0,277835,Sean Hughes
420980,0,420980,Sigvart Fotland
558971,0,558971,Mariachi Peñatitlan
226537,0,226537,LKan
