release,gid,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
2700,2aa7fb7938764204b7590dfb9ccce34b,181071,34227,Glory Bound,134351002229,Official,Jewel Case,English,Latin,2
2485698,e79e0db719f4439c9dda3911398fbeb2,2216510,1,Vlaamse Troeven 36,,Official,,Dutch,Latin,1
67293,d29eaa2be26948338786d083f247b16d,421898,5040,Astounding Sounds Amazing Music,054421048325,Official,,English,Latin,1
858650,16a44177c59a4360b5e2fbd8e150eff4,861780,635355,Andean Native Spiritual Music,,Official,,English,Latin,1
30700,5d39227eafbf4fa98cd24247acf16c3d,52316,25,Crooked Rain Crooked Rain LAs Desert Origins,744861061021,Official,,English,Latin,1
442178,d6fa5c05b3e940f0ab98ec36745a9675,758104,1706,Love Out Loud,186274100421,Official,,English,Latin,1
1616904,c19c7a37026e4366845c0fdbe88c8e1c,501110,143501,Tired of Hanging Around,,Official,None,English,Latin,1
1176357,3f83e3839b984d6fa2e797db95585b4c,1174217,32506,Skelethon,,Official,,English,Latin,1
1428733,337482e9fdea49729c72e60734b96260,1377793,170778,魔法騎士レイアース オリジナル・サウンドトラック6 〜いつか輝く〜,4988005173720,Official,Jewel Case,Japanese,Japanese,1
1614409,1243bb5f56944ff7aefc49096e852606,1258814,218697,Like Crazy,854727002485,Official,CardboardPaper Sleeve,English,Latin,1
273662,5a80944548514e8ab0febcdfb50985bb,619143,281399,One Fine Morning,5709027211011,Official,,English,Latin,1
2992623,d55101fe313746e0b6c15c995560727b,2614016,2940099,Concerto for Piano and Orchestra  Suite for Violoncello and String Orchestra  «Lied des Einsamen»,,Official,None,English,Latin,1
1236861,6820d60bd4d7487ea2cb43718d827061,1226089,1103692,EP,,PseudoRelease,CardboardPaper Sleeve,English,Latin,1
677004,087856e115a845379a3f571b9bd741af,686282,12,Stromausfall,,Official,,English,Latin,1
892850,dc38d6dd47d44abfbb200fd07a9785cc,163839,125376,The Magic of the Rumanian Music,,,,,Latin,1
877108,618c1c5159b644edb692ebaa1af9def3,351003,245870,Look At Me,,Official,,English,Latin,1
915755,c69f62ea173e4c18804f9e7f36b34a72,243767,174104,Let There Be Peace On Earth,,Official,,,Latin,1
1433053,dd33f117bbd349db8151fdd14119d075,1381278,541669,Dolores,,Official,None,Czech,Latin,1
2420105,470d70abbb874b8e9c8c4ef055b15f98,2166010,3418,Here He Comes Again,,Official,CardboardPaper Sleeve,English,Latin,1
1293328,c7f424e6bd99490da23319b93acd00b9,1271391,678274,Nekrodepression,,Official,,Multiple languages,Latin,1
1272814,138f5397dc0f425cbab939cc4e1b1bf7,69214,1338,Total Recall,4988060170108,Official,Jewel Case,Japanese,Japanese,1
1232124,bd261724ec8b407183ad77351f870fd8,1222130,946602,Estonian Funk,845121050714,Official,,English,Latin,1
3583189,4492318878b64665a995c0ae04d1b605,3073999,1518701,Angella,,,,,,1
347142,5b27300bd34d4e0e8e33aa13672a7c59,680408,190590,The Moon Is Gone  Rattle,600116816115,Official,,English,Latin,1
2460708,c1bb55f99fa345be9c329137186429d6,994626,1111,Telephantasm,0602527471303,Official,Gatefold Cover,English,Latin,1
937042,58bd55472fdd4302ae0977d32c70fb81,338452,121885,Les Chansons éternelles,,Official,,French,Latin,1
2169572,ac7520b97eb141b7b8243c6818e466ec,1966972,22590,Up On The Lowdown  Drive You Home Again,0805772623026,Official,Jewel Case,English,Latin,1
980062,d9ee228192d745399ed3c08feed15a74,498503,5236,As Time Goes By,,Official,,English,Latin,1
1321435,063835be19ae4ff2b8917d1556e42fa2,1180488,769555,Manners Remixes,,Official,None,English,Latin,1
1973845,52e49ac3fa8e41d580b57c5e037e633e,1811974,1135318,Dark MatterDark Energy,5013929166134,Official,Jewel Case,English,Latin,1
919217,66ca7f1bb61c45439345bc0b36adbd5a,259403,169160,The Best Instrumentals Volume 2 bonus disc,,,,English,Latin,1
711067,bdc661c63edf4e4ca7f31146a2a1023b,971092,193885,Tarab,,Official,,Portuguese,Latin,1
1971862,b16c7ed087cb4e15a350d0c5c0955fa4,1810393,2006738,This Awakening,,Official,,English,Latin,1
2990315,a907753b9e684275b5d480fceb2fe68a,2612157,1428761,ORIGINAL 16BIT SOUND COLLECTION I — MAD STALKER for TRUE MEGA DRIVERS,,PseudoRelease,,English,Latin,1
1182938,612c75e5a3294ec08c445a2a6515274e,1181756,677116,Illumination,,Official,,,Latin,1
2361002,341482bb36a1478d9d0ee3a5b96a0d8d,212411,46843,Playground Battle,5050467768826,Official,Slidepack,English,Latin,1
679179,7c551f556a584031a779ad233082a4d0,946893,704235,Hard Rock Guitar,,Official,,English,Latin,1
645085,d119b1c394e044b9b52d737d53d6a319,919660,821473,Hyperactive Volume 2,,Official,,English,Latin,1
769009,0fd2e991345244caba46b3e5510d81b3,1016631,1,Godskitchen Pure Trance Anthems 2011,885012007496,Official,,English,Latin,1
3156542,217799f14a834eb7ba777295825610a3,2744061,3073196,Falling,,Official,None,English,Latin,1
438085,18d11ea6d1724090bfd1d4ff7ec5084f,754679,1,Club Bizarre 1,4001617810521,Official,,English,Latin,1
897475,f7311a9d898f4c8f8fc75a2da69835b7,181186,129655,Controverse All Star,,Official,,English,Latin,1
2487998,6ccfe30fb38d4715b5a9f9a55b5b307e,2218261,2487721,Blazing Winds of Transcendence,,Official,,,,1
3583622,befce0305dc64c05be0d0e6a92c60e81,3074338,1122289,artificial outsider,,Official,None,English,Latin,1
597382,d2a106b29bcd4c23bfc3421cdff50fb1,882917,55410,Rock This House,011661659728,Official,,English,Latin,1
699374,2d805c3316ef433b8c879d0666c6b73b,962218,720539,Planet Moods,,Official,,English,Latin,1
1178546,accb806a9e66497495a0aea33d231096,1178363,1018837,What I Seen What I Done,,Official,,English,Latin,1
1112848,26fb5b6f76064f90988728c692d4adbc,1125895,1,Classics Revival No16  Meri Jaan Balle Balle,,Official,Jewel Case,,Latin,1
529936,4ff255c620664dbb8c8fa24290987252,830246,824889,Abuso Sonoro  Detestation,,Official,CardboardPaper Sleeve,English,Latin,1
657162,6061e93004ad421eb5f5610da63632bd,929450,689965,The Scriptural Rosary,,Official,,English,Latin,1
1246922,c49d02dc5a724ae0a08629fa6e51d0ba,1234131,5090,Slave Master Live,,Official,,English,Latin,1
556538,66a0b2c3570841f8986ded1ef31616dc,852030,208486,Violent Nun,,Official,,English,Latin,1
359054,ac9e00848edb49e88f560c926ac8d73e,113158,77089,Blut Trilogie des Blutes  Nachblutung,,Official,,Multiple languages,Latin,1
1062813,a78569f671d7407cb0d2bf90cffa8f0b,1085428,290280,13 Top Reggae Hits,7332334000849,Official,Digipak,English,Latin,1
1038109,c36a3322bf4945a3a4b0647ce1c17ed1,964450,23969,Hindsight 2020,743213601229,Official,,English,Latin,1
942137,f4a89b55a20744509846a61ea0b1741c,350394,84915,Ooh Wallah Wallah,5021630109128,Official,Jewel Case,English,Latin,1
3582498,7f3307122aa746308f509f694f371a43,3073453,2195744,Celle que Je suis,776693250823,Official,Box,French,,1
843565,2f31c31becee4b29a9be002fcfd5d033,1059976,405833,A Peter Fletcher Recital,687474122324,Official,Jewel Case,English,Latin,1
871105,941343d353d742e6989dc1cd4d537e72,11974,6366,Dance With Me,,Official,,English,Latin,1
615288,c44f2868a2c24aa5950ba359357b612e,690789,1021,Complete Works,5028421935539,Official,,English,Latin,1
912453,4b2e91169d1643a2a17f6de890a573fa,377264,45442,Live at the Gaslight Set Two,,Official,Jewel Case,English,Latin,1
26189,a89cab84750746ee87aae5787417d27e,316065,126062,Isolated Incident,026297353629,Official,,English,Latin,1
169086,73d1445b41e4463aa1162c70389573cf,530805,371454,World Scratch,,Official,,Japanese,Japanese,1
1157250,24e0963d07144bca91b18b1aa4946ece,755701,1,The Ultimate Jazz Archive,4011222228000,Official,Keep Case,English,Latin,1
2990534,e8e0092e74a54dc99f3285d65b60e932,1118734,135547,Koukyoushihen Eureka Seven Pocket ga Niji de Ippai MUSIC COLLECTION PSALMS OF PLANETS,,PseudoRelease,,English,Latin,1
3356189,7940dd54d44a47bba6c50c268bd68b50,2898409,1472600,Greatest Hits  Remixes,0194111001756,Official,,English,Latin,1
1151452,6bf0ed22f71e48cd8a689be03e9f74f2,1157311,976473,Black Bottle Riot,,Official,Digipak,English,Latin,1
18999,9a886fd9bbee4cc18f9fa008a9b6fb4f,291366,63503,Invocations,,Official,,,Latin,1
908516,1b10891f62a54ae3a8a00cef27922073,1046477,187,20010224 Moscow Russia,,Bootleg,,English,Latin,1
2361126,da13651fa0d34a4d85d590b48b85dd18,2118060,2376142,Wm Abraham Restum Takes Off on Chitty Chitty Bang Bang,,Official,,English,Latin,1
371373,bc3983dbc6814b6d95969632dc132f9e,699983,3215488,Love in the Time of Cholera Original Motion Picture Soundtrack,886972258621,Official,Jewel Case,Multiple languages,Latin,1
1608517,a4756fcec3624ea39e443fc289e6917b,1526896,1478548,Puig Destroyer,,Official,,English,Latin,1
958524,e06700de513040a4b462e75ab9261ab3,394990,277835,Alibis For Life,,Official,,English,Latin,1
1000142,ac4c0e354252462881d8aa28c3500d1a,588410,314234,Som symra rein og blå,,Official,,Norwegian,Latin,1
442552,9f0fa874954b4303a040d89af82b3729,758409,558971,Mariachi Peñatitlan,,Official,,Spanish,Latin,1
479804,299098aac5974d94af5a58c40eb03da3,789125,226537,Somos otra cosa,,Official,,Spanish,Latin,1
3350054,a343c19ef03d477b8f923998bf0b9e9e,2893744,3220286,Only The Best,,,,,,1
445176,78e1e00b73f54c5c812274a43cd86623,760650,1,Nick  Norahs Infinite Playlist,075678970535,Official,Jewel Case,English,Latin,1
2836699,0e4dcc876e284067871169d16c7ecabf,2491296,2817844,Selected Works 2000 2006,,,None,,,1
638910,13ff62aa250a4dd0ae6bfa3109500e2c,914976,1317,100 Anniversaire,,Official,,English,Latin,1
