label,name,label_type,area,ended
rec-27670-dup-1,Flagg Rekords,Original Production,id-222,f
id-171755,Secret Land Music,,id-98224,f
id-74661,Boom Service,Publisher,id-222,f
id-198997,Plain Disguise,,,f
id-9193,Teeto Records,,id-170,f
id-145393,Maiden Name Records,,id-150,f
id-42870,Digital Cellars,Original Production,id-222,f
id-197350,Mau Tak Mau Records,,id-100,f
id-100253,PHU Violetta,,,f
id-78331,Vegas Records,Original Production,id-79466,f
rec-47661-dup-0,Eugene Refords,Original Production,id-222,f
rec-126459-dup-0,Wood5tiff,Publisher,,f
id-230440,Sugar Factory Records,,,f
rec-127305-dup-0,Made In Enkland,,,f
id-151427,NSR,Distributor,,f
id-213395,Sharak Interactive Records,,,f
id-69257,Black  Blue Records,,id-222,f
id-59994,Lighten Up,,,f
id-93544,Serotonin Shift Music Publishing,Publisher,id-5215,f
id-186460,GKFAM,,,f
id-233219,Bandore Entertainment,,,f
id-192693,Ricochet Dream,Publisher,,f
id-195033,Kujaku Club,,,f
id-209481,Charlotte Lawrence Music Publishing,Publisher,id-222,f
id-222837,Esupendo,Original Production,,f
id-14824,Doirlinn Records,Original Production,id-222,f
id-77507,Brassland,,,f
id-2348,Bando Records,,id-113,f
id-80894,Aural Delight,Bootleg Production,,f
id-145892,The Airborne Toxic Eventpublishing,Publisher,,f
id-49334,Sunday Mirror,,,f
rec-164890-dup-0,KAIWARECORD,,id-107,f
rec-196386-dup-0,Kakelane Musid,,,f
id-206869,Spelling Ventures Music,Publisher,id-222,f
id-211857,LHUA Music,,id-7731,f
id-174809,Plopscotch Records,,,f
id-134791,Rue Snider,,,f
id-239306,Table Basse Records,,id-23037,f
id-202800,Media Vision,Manufacturer,id-88032,f
rec-17652-dup-0,Cah2 Records,Production,rec-221-dup-0,f
id-167915,Blank Code,,id-5179,f
id-15791,Artex,,id-54,f
id-2823,Hot Tracks,Original Production,id-73,t
rec-197145-dup-1,Losd in Ohio,,rec-7953-dup-0,f
id-158224,Everything to Everyone Records,,,f
id-95891,Talisman Records,Original Production,,f
id-123205,Well Go USA,Distributor,id-222,f
id-159231,Solar Management Ltd,Production,,f
id-66890,TJM Records,Original Production,id-221,f
id-167366,Family Grooves,,id-53,f
id-231656,Struts  Frets,,,f
id-156655,Production Pathétik,Imprint,id-8391,f
id-164253,Yolo Music,,,f
id-146889,Hood Famous Publishing,Publisher,id-222,f
id-241796,Snooter Records,Original Production,id-222,f
id-151256,Shena Maydelah Publishing,Publisher,,f
id-191220,Edizioni Pelago,,,f
rec-9193-dup-1,Teeto Rekords,,rec-170-dup-0,f
id-243059,Ghostown Thang Music,Publisher,,f
id-118389,欧乐文化,,,f
id-184783,DreamWorks Urban,Imprint,,f
rec-167366-dup-0,Family Gruves,,id-53,f
id-62853,Shitsounds Co,,id-67,f
id-103081,Biamusik,Production,id-38,f
id-155454,Cold Ways,,id-378,f
id-56679,Ball Park Music,,id-13,f
id-170679,Four Sixty,,,f
id-18232,Cymbidium Records,Original Production,id-72,f
id-63580,Resident Advisor,,id-240,f
id-132187,Queens Litho,,,f
id-245471,Ruelas Publishing,,,f
id-166446,Ace Chillers Hey,,,f
id-203246,Hyper Utesov Records,,,f
id-66810,Timewave Records,,,f
id-246651,Nuclear Waste Records,,,f
id-24497,Rock Express Records,,id-242,f
id-224965,Нокс Мьюзик,,,f
id-224962,The Bluesharp Music Co,Publisher,,f
id-236030,Longtail Music,,,f
id-58050,Fastlane Productions,,,f
rec-84994-dup-0,HMC  Helsinki Music Conpany Oy,,id-72,t
id-23186,Yacca,Production,id-107,f
id-251932,Tiraquon Recordings,,,f
id-182813,Dark Side MGMT,,,f
id-75338,NRG Komrads,,,f
id-162771,Mark D Music,Publisher,,f
rec-211857-dup-0,LHUA Muzic,,id-7731,f
id-92530,Pacini Sound Factory,Imprint,id-107,t
rec-165116-dup-0,CoolNot,,,f
id-14417,Monarch,Distributor,id-221,f
id-131302,Home Skillet Records,,,f
id-112845,Toxic Shock Records,Production,id-378,f
rec-178704-dup-0,TBA Recofds,Production,id-57,f
rec-202000-dup-0,That Wast EZ,Publisher,,f
rec-247365-dup-1,Facemelt Rec0rds,Publisher,,f
rec-182913-dup-0,음악부,Production,id-113,f
id-147058,Otosagashi Records,,,f
rec-202000-dup-1,That Waa EZ,Publisher,,f
rec-49334-dup-0,Sunday Mirroah,,,f
rec-100622-dup-1,Monokram,,id-222,f
id-229345,VOX MUSIC,Imprint,id-107,f
id-160493,Fonovideo Produzioni Discografiche,,,f
rec-243653-dup-0,CWPT,,,f
rec-211857-dup-1,LHUA Musoc,,id-7731,f
id-191251,Loaded Lick Recordings,,,f
id-191702,Cype Records,Original Production,id-69933,f
id-232957,GuideTone Recordings,,,f
id-179705,Fat Cat Music,,,f
id-116352,Vincion Records,Original Production,,t
id-246287,Raton Songs,,,f
id-168273,MoonDome Records,,,f
id-23522,Strictly Roots Recordings,,id-222,f
