release_group,gid,name,artist_credit,type
846803,ccf69d8f3d9145bc93b0e0be641b9917,HellWood,64025,1
999365,6956b306472d469db1038ea83420edcb,Everythings Berri,346436,1
971092,38561b050b6f45fbbdf58834cc3241fb,Tarab,193885,1
922122,4dc6146909b5428b919eab17b80ba511,Музыка Народов Птиц,412311,1
1098988,e7aa68ccc6244d72bd3607ce369764b3,Impeccable Micro,791589,1
882901,ab45d63a9c8440ecaec4c7987e212d81,Emanuelle Perché violenza alle donne,162937,1
963701,4f050ebfada241de9b87347bf16e413e,Interpretations The British Rock Songbook,49169,1
899674,90780a1f790a4c369a40e8885034f221,La Bible en musique,805842,1
1968896,f61c78386cd24bea9f8c06791d27f1fa,Complete Organ Works,2214519,1
1269674,5456d1ecd6d54bac8fb7412259eda915,ProphetDeny,942062,1
1258846,85061bc227d749d1b85f9b202cba6fb7,Well Meet Again,1,1
1385007,d1611699bbbe402aae7eff1cbd46d4d9,Lá an Dreoilín,334801,1
122266,23d3efe5ab8f3342b33b4f2837671970,Wichita Lineman,379,1
549293,422d31ed105f313c955db99c858333b9,19860921 London UK,93,1
1000505,035de6654fe94b63991e695a58cf1277,Saxophone Concertos,2424748,1
1275413,655bfdab309543b6b1e1a3db0653923f,Reel,1155807,3
798688,6b03bd83fbcd36c8b901402a67f396bd,Time and again,1025061,1
825992,2877826ebd613f9eb0c56e42c70b836b,Mano Mano,160765,1
758305,c7789e53b8bc30358dfb263ffd4f5a2b,Asian Garden 2 The World of Asian Grooves,1,1
1062764,060e6a0c10f14689a58b57958c5d6692,From Which No Light Escapes,546970,1
42090,316b0209e9aa3f74923b135da56cab63,Dizzy Heights,823419,1
2121503,2911024e4fc94b60baaaa216485fa0c0,The Film Music of William Perry Life on the Mississippi,2379733,1
463448,232b9252bc48397eaaa07456df1475d2,Alma y Locura y sus éxitos,293706,1
429441,3a40def3448139d5a3da948abb68c0d5,Heavens Garden,90086,1
1148417,329bf3b33eb441a2a93778ebd214bdc9,滾石30青春音樂記事簿,1,1
308097,d6731e88bbbc3b82b91d0a257c830c04,A Christmas Celtic Sojourn,1,1
1201909,9603378251734e35960428c31d22b560,20120721 Summer Lounge Halle Germany,569117,1
878755,a4fe3ed7362b412aa310d760be5d2b0a,Yeah You,142903,2
980305,09898e15812a45e788acd31e61938d7a,Etudes for Voice  Snackmaster,53607,1
831423,e98a9ad9b3343f79b9a735115c370e7b,The Past Prelude,613918,1
1964636,720679f1640d457bb4982d4f85165898,Frozen in Time,2208417,1
594067,cf2184f0eba0349dbab212a0eca7e5bf,Obligations to the Odd,106599,1
381246,496ceca475a8335c909fe048607999fe,Ligo Akoma,290579,1
919332,7b80c59d6f8f451585006a0e7563a8bd,Death Metal,663106,11
492813,844a506640a93818bd03568d97e50131,The Very Best of Rosanne Cash,43631,1
767758,7fe1cc19c4233fb99d521ae72bd42fa4,Purcell Dido and Aeneas  Galliard Pan and Syrinx,2180785,1
2337301,a13618a049ab4f6087fac006afb2f249,How To Break A Fall,2578700,1
484460,747a61ce711733f78864bb26acab11e0,The Live Box 19651968,1135,1
1035032,30e44b48ffd54d408ad8c71479b847df,Japan,1,11
1053114,9199b8201a8a41628f99f701e60f0888,Its Swing Time,1,1
1334191,93a143e3935540fb9b7dc56da930f66f,Ντουέτα,322081,1
607086,a349d91225643f65bf50d97c914bc7d0,On Tour,433936,1
