release,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
id-1311766,id-1285845,id-623800,Foi Por Amor,,Official,None,Portuguese,Latin,1
id-917213,id-249351,id-171523,Give Me Your Love,,Official,,,Latin,1
id-1261746,id-1246107,id-1133373,Nintendo Sonatina in C Major,,Official,,,Latin,1
rec-838701-dup-0,id-976948,id-732605,Hvg,,Official,,Multiple languages,Latin,1
id-774438,id-1020970,id-768312,Die Buntstifte,,,,German,Latin,1
id-872144,id-15375,id-8213,Dusty Subliminal Rhymes,,Official,,,Latin,1
id-1261740,id-1246106,id-1133618,Heroin EP,,Official,,English,Latin,1
id-818034,id-1055024,id-732141,Wir bauen eine neue Stadt,,Official,,German,Latin,1
id-868516,id-30960,id-16063,Live at the Manhattan,,Official,,,Latin,1
id-451098,id-765567,id-283383,I Wasnt Even Looking EP,,Official,,English,Latin,1
id-941092,id-335810,id-233181,Blitz Of You,,,,English,Latin,1
id-1181875,id-1180926,id-1025493,Accordi e Disaccordi,,,,Multiple languages,Latin,1
rec-48591-dup-0,id-371024,id-260389,Fountain 0f Tears,,Official,,English,Latin,1
id-586414,id-874677,id-239203,Stay With Me 4 Ever,743212098020,Official,,English,Latin,1
id-2168882,id-1966439,id-2211428,Is This Love,,Official,None,English,,1
id-693644,id-957734,id-713557,Exu__Wow,,Official,,English,Latin,1
id-1209931,id-1203616,id-1067191,Gold Camo / Red Tiger,,,,,Latin,1
id-567995,id-860545,id-634444,Orion,,Official,,English,Latin,1
id-978850,id-477640,id-332870,Evolution Compadre,,Official,,,Latin,1
id-940147,id-498084,id-131790,Ghost Flight,5016958070427,,Jewel Case,English,Latin,1
id-266799,id-613877,id-438408,So Fine,724388513821,Official,Cardboard/Paper Sleeve,Multiple languages,Latin,1
id-388164,id-713667,id-82930,Gate to Heaven,,Official,,English,Latin,1
id-489349,id-797221,id-588515,Bypass Symphony,,Official,,English,Latin,1
id-498593,id-804982,id-594874,Ik voel me helemaal te gek vandaag,,Official,,Dutch,Latin,1
id-2641933,id-2337531,id-2650198,Define,8719729789562,Official,None,English,,1
id-422602,id-741903,id-160531,Hot Pixel,,Official,,English,Latin,1
id-394414,id-718887,id-526940,Utflykten,7394060000388,Official,,Swedish,Latin,1
id-167993,id-529972,id-370913,What U Like / Sticks  Stones,,Official,,English,Latin,1
id-690592,id-955427,id-711693,Im Not Ashamed / The Wonder of Love,,Official,,English,Latin,1
id-1182204,id-1181193,id-100923,Urban Myth,,Official,,English,Latin,1
id-455408,id-769074,id-567442,Erwtensoep,,Official,,English,Latin,1
id-1205936,id-1200310,id-113357,Mysterious Skies,,Official,,English,Latin,1
id-341069,id-675496,id-234085,Think With Your Heart,8427328421041,Official,,English,Latin,1
id-709816,id-970221,id-727328,Twilight,796873075060,Official,,English,Latin,1
id-459776,id-772414,id-336798,もうひとりの私,4988003245139,Official,Slim Jewel Case,Japanese,Japanese,1
id-274756,id-84121,id-51314,Glamour Camp,,Official,,English,Latin,1
rec-1088477-dup-1,id-1106283,id-2649126,Eyes Wide Open,,Official,,English,Latin,1
id-373192,id-701586,id-191577,Native Indians Music,8028980224522,Official,,English,Latin,1
id-149244,id-515613,id-359734,From Cells of Roughest Air,777078912268,Official,,English,Latin,1
id-762211,id-1011496,id-759058,Rock That Shit,,Official,,English,Latin,1
id-2086586,id-1901090,id-1285054,Abaculus,,Official,None,English,,1
id-1972578,id-1810931,id-2007376,Ectoplasm,5019148632023,Official,Jewel Case,English,Latin,1
id-702795,id-964770,id-722794,Invitation,22924600227,Official,Jewel Case,English,Latin,1
id-298833,id-639700,id-458234,Crime Spree,,Official,,English,Latin,1
id-1007645,id-517117,id-2769024,Elefantens vuggevise og mange andre børnesange,,,,Danish,Latin,1
id-409401,id-731121,id-506405,Simple Additives / Tunnel Vision,,Official,,English,Latin,1
id-1152595,id-1158174,id-788213,Acoustic EP,,Official,,English,Latin,1
rec-743647-dup-1,id-996217,id-998713,Endaneia E.P.,,Official,,English,Latin,1
rec-53993-dup-1,id-391140,id-302587,Now ir Never,755757104722,Official,Jewel Case,English,Latin,1
id-934382,id-316506,id-221385,Rise On Up,,Official,,English,Latin,1
rec-3457931-dup-0,id-2978053,id-3204459,Warning Sigbs,,Official,,English,,1
id-383548,id-709964,id-2344886,Ill Show You My Fear,,Official,,English,Latin,1
id-946080,id-354067,id-247964,Old Enough To Know Better,,Official,,,Latin,1
id-318612,id-657419,id-475677,風の羽,4988002306794,Official,,Japanese,Japanese,1
id-3356213,id-2898426,id-3044710,Make History,8718857760368,Official,None,English,Latin,1
id-1336661,id-1305412,id-956516,Maze,7070508100314,Official,Cardboard/Paper Sleeve,English,Latin,1
rec-852593-dup-1,id-999465,id-335497,Money Can Buy Anythinf,,Official,,English,Latin,1
id-1238200,id-1227130,id-1105344,4 Years Now,4050486085394,Official,Cardboard/Paper Sleeve,English,Latin,1
id-1238201,id-1227131,id-1105342,Human Disco,,Official,,No linguistic content,Symbols,1
id-129136,id-499798,id-345795,Everything Alive,,Official,,English,Latin,1
id-3457186,id-2977437,id-3303974,Bad Texter,75597919073,Official,None,English,Latin,1
id-685216,id-951540,id-707708,How the Beach Boys Sound to Those With No Feelings,875531004892,Official,,English,Latin,1
id-1576823,id-1502216,id-1445947,Warehouse,,Official,,,,1
id-854579,id-1003507,id-752528,Prism,,Official,,English,Latin,1
id-777165,id-1023239,id-770743,Eyes,,Official,,English,Latin,1
id-497523,id-804066,id-594158,Angular,,Official,,English,Latin,1
id-1337133,id-1305761,id-1222574,God of a New World,,Official,,English,Latin,1
rec-873914-dup-0,id-20040,id-10407,REM - Be M8ne,,Official,,,Latin,1
id-2009379,id-1840000,id-2047016,RAVE-IN-BOW,,Official,Jewel Case,,,1
