label,name,label_type,area,ended
id-171755,Secret Land Music,,id-98224,f
id-74661,Boom Service,Publisher,id-222,f
id-198997,Plain Disguise,,,f
id-9193,Teeto Records,,id-170,f
id-145393,Maiden Name Records,,id-150,f
id-42870,Digital Cellars,Original Production,id-222,f
id-197350,Mau Tak Mau Records,,id-100,f
id-100253,PHU Violetta,,,f
id-78331,Vegas Records,Original Production,id-79466,f
id-230440,Sugar Factory Records,,,f
id-151427,NSR,Distributor,,f
id-213395,Sharak Interactive Records,,,f
id-69257,Black  Blue Records,,id-222,f
id-59994,Lighten Up,,,f
id-93544,Serotonin Shift Music Publishing,Publisher,id-5215,f
id-186460,GKFAM,,,f
id-233219,Bandore Entertainment,,,f
id-192693,Ricochet Dream,Publisher,,f
id-195033,Kujaku Club,,,f
id-209481,Charlotte Lawrence Music Publishing,Publisher,id-222,f
id-222837,Esupendo,Original Production,,f
id-14824,Doirlinn Records,Original Production,id-222,f
id-77507,Brassland,,,f
id-2348,Bando Records,,id-113,f
id-80894,Aural Delight,Bootleg Production,,f
id-145892,The Airborne Toxic Eventpublishing,Publisher,,f
id-49334,Sunday Mirror,,,f
rec-164890-dup-0,KAIWARECORD,,id-107,f
id-206869,Spelling Ventures Music,Publisher,id-222,f
id-211857,LHUA Music,,id-7731,f
id-174809,Plopscotch Records,,,f
id-134791,Rue Snider,,,f
id-239306,Table Basse Records,,id-23037,f
id-202800,Media Vision,Manufacturer,id-88032,f
id-167915,Blank Code,,id-5179,f
id-15791,Artex,,id-54,f
id-2823,Hot Tracks,Original Production,id-73,t
id-158224,Everything to Everyone Records,,,f
id-95891,Talisman Records,Original Production,,f
id-123205,Well Go USA,Distributor,id-222,f
id-159231,Solar Management Ltd,Production,,f
id-66890,TJM Records,Original Production,id-221,f
rec-248245-dup-0,MAW Wordz Publishing,Publisher,id-222,f
id-167366,Family Grooves,,id-53,f
id-231656,Struts  Frets,,,f
id-156655,Production Pathétik,Imprint,id-8391,f
id-164253,Yolo Music,,,f
id-146889,Hood Famous Publishing,Publisher,id-222,f
id-241796,Snooter Records,Original Production,id-222,f
id-151256,Shena Maydelah Publishing,Publisher,,f
id-191220,Edizioni Pelago,,,f
id-243059,Ghostown Thang Music,Publisher,,f
id-118389,欧乐文化,,,f
id-184783,DreamWorks Urban,Imprint,,f
rec-167366-dup-0,Fam:ly Grooves,,id-53,f
id-62853,Shitsounds Co,,id-67,f
id-103081,Biamusik,Production,id-38,f
id-155454,Cold Ways,,id-378,f
id-56679,Ball Park Music,,id-13,f
id-170679,Four Sixty,,,f
id-18232,Cymbidium Records,Original Production,id-72,f
id-63580,Resident Advisor,,id-240,f
id-132187,Queens Litho,,,f
id-245471,Ruelas Publishing,,,f
id-166446,Ace Chillers Hey,,,f
id-203246,Hyper Utesov Records,,,f
id-66810,Timewave Records,,,f
id-246651,Nuclear Waste Records,,,f
rec-123737-dup-0,Together Recorclings,,id-221,t
id-24497,Rock Express Records,,id-242,f
id-224965,Нокс Мьюзик,,,f
id-224962,The Bluesharp Music Co,Publisher,,f
id-236030,Longtail Music,,,f
id-58050,Fastlane Productions,,,f
id-23186,Yacca,Production,id-107,f
id-251932,Tiraquon Recordings,,,f
id-182813,Dark Side MGMT,,,f
id-75338,NRG Komrads,,,f
id-162771,Mark D Music,Publisher,,f
id-92530,Pacini Sound Factory,Imprint,id-107,t
rec-165116-dup-0,CoolNpte,,,f
id-14417,Monarch,Distributor,id-221,f
id-131302,Home Skillet Records,,,f
id-112845,Toxic Shock Records,Production,id-378,f
rec-7783-dup-0,MIS Recorcls,Original Production,rec-57-dup-0,f
id-147058,Otosagashi Records,,,f
id-229345,VOX MUSIC,Imprint,id-107,f
id-160493,Fonovideo Produzioni Discografiche,,,f
id-191251,Loaded Lick Recordings,,,f
id-191702,Cype Records,Original Production,id-69933,f
id-232957,GuideTone Recordings,,,f
id-179705,Fat Cat Music,,,f
id-116352,Vincion Records,Original Production,,t
id-246287,Raton Songs,,,f
id-168273,MoonDome Records,,,f
rec-65492-dup-0,Outernati0nal,,,f
id-23522,Strictly Roots Recordings,,id-222,f
id-245887,Foursome Music LLC,Publisher,,f
id-217296,Nova Lark Music,Publisher,id-10861,f
id-194779,Count Zero Records,Holding,id-1872,f
id-222356,Gong Ear,Original Production,id-21,f
id-215036,Ape Gang Ent,,,f
id-101485,Horn OCopia Recordings,Imprint,,f
id-241500,Funky Child Records,,,f
id-180538,Abstract Reality,,id-73,f
id-27670,Flagg Records,Original Production,id-222,f
id-133874,Lampshade Media,Production,,f
id-206547,Irving Caesar Inc,Publisher,,f
id-96989,Kalifornia Dreamin Entertainment,,id-222,f
id-210601,Funnybone Records,,id-38,f
id-96984,Magic Disc Records,Original Production,id-7703,f
id-198168,Mon Mothma Recordings,,,f
id-244594,Paper Platoon,,,f
id-137229,Hinky Music,Publisher,id-5239,f
rec-247263-dup-0,Minl Mac Music,,,f
id-154474,High Wind Production,Original Production,id-107,f
id-17652,Cr2 Records,Production,id-221,f
id-81774,AxIxAxC,,id-129,f
id-81777,TakeFour Collective,Original Production,id-7310,f
id-161882,The Arto Company,,id-88326,t
id-43386,Gaylo Records,,,f
id-144432,Latin Dreams Music,Production,id-47,f
id-22198,Universal Dance,Production,id-13,f
id-78761,Agressor Records,,,f
id-58282,3BP,,,f
id-187802,Perfect Prescriptions,,id-221,f
id-20529,BitPhitz,,,f
id-39382,Unichappell Music Inc,Publisher,id-222,f
rec-72654-dup-0,Antena Portugueza,,,f
rec-90453-dup-0,Vetnasj Refords,,,f
id-88818,Oh Music,,,f
id-220643,Hate Prod,,id-170,f
id-94445,Stereofreeze,Distributor,,t
id-118352,Metro Sound,,,f
id-200652,OneFitMusic Record Label,Original Production,id-809,f
id-187091,Mad King Production,,,f
id-251645,KLT Ekoizpenak,,,f
id-134978,Dream Entertainment Group SRL,Publisher,id-10,f
id-26415,Soundmalfunction Recordings,,id-13,f
id-195630,Pachira Records,,,f
id-91129,Devouter Records,,id-3834,f
rec-191251-dup-0,Loaded Livk Recordings,,,f
rec-59471-dup-0,Keeva6 Music,,,f
id-242881,PRVTC,,,f
id-177532,Siderian Records,Production,,f
id-14631,EVO Recordings,,,f
id-113395,Tentcrest Ltd,Holding,id-221,t
id-185812,STAREX,,,f
id-111814,Salli Isaak Music Publishing,Publisher,id-222,f
id-43158,101 South Records,,,f
id-85789,Levande Begravd Records,,,f
id-104079,Blue Box Publishing Promotion Karin Wirthmann,Publisher,id-326,f
id-104384,DBlock Records,,,f
id-140436,ACT Music  Vision GmbH  Co KG,,id-81,f
id-103728,Sleeping Village,,id-222,t
id-250799,Edition Cézame,Publisher,,f
id-193704,Rocking Time Records,Production,,f
id-139852,National Society For The Decriminalization Of Microtones,,,f
id-87092,Jessica Musikverlag,Publisher,id-81,f
id-237869,Eva Magical Music Sounds,Distributor,,f
id-136842,Nomad Music Group,,,f
id-26954,Tapestry Records,Bootleg Production,id-122,f
id-173209,Humildad Y Honestidad,,id-194,f
id-117942,giraffe boy,,id-282,f
rec-51665-dup-0,Kin9 of Patio Records,Production,id-9274,f
id-98892,Wizzard in Vinyl,Original Production,id-8393,f
id-123681,THC  DIY Records,,,f
id-174752,Nomy Production,,,f
id-181954,Ruff N Tuff Recordings,,,f
id-136225,Gymnote Mission,,,f
id-163645,First Celtic Masters,,,f
id-81363,Early Learning Centre,Distributor,id-89433,f
id-203880,Orlando Music,Publisher,id-222,f
id-157074,Laputamusic,,,f
id-139087,La Industria Inc,Production,,f
id-64985,Kindred Recordings,,id-73,f
id-158495,Lonmel Publishing,Publisher,,f
id-52618,Dynamic Reflection,,id-150,f
id-88133,Autistic Records,,,f
id-184820,Colectivo Casa Amarela,,id-5062,f
id-224036,WEBKOO,Imprint,id-107,f
id-180560,TONIKAKU RECORDS,Original Production,id-107,f
id-235216,Uncle Joshs Song Emporium,Publisher,id-222,f
id-36813,Bullshit Recordz,Original Production,id-202,f
id-202371,SYLCO,Publisher,id-222,f
id-219144,Landmark That,,,f
id-1562,Traditional Crossroads,Production,id-222,f
id-21807,Talent Müzik,,id-214,f
id-186413,Sasquatch Cock,Original Production,id-153,f
id-89921,Feast Music Group,Publisher,,f
id-41341,The Master Recording Company,Original Production,id-221,f
id-78831,Loupgarous Productions,,,f
id-114128,Loud Rage Music,Distributor,id-175,f
id-34064,Hong Kong Recordings,Original Production,id-81,f
id-67353,UHT,,,f
id-72447,Doxology Records,,,f
id-126459,Woodstiff,Publisher,,f
id-199517,Apparel Tronic,Imprint,id-7278,f
id-246326,Mutant1000000,Publisher,id-1178,f
id-64209,Rampade Org,,,f
id-18358,The Red Flag Recording Co,Original Production,id-221,f
id-239333,IAFDSFBD Songs,Production,id-5213,f
id-7783,MIS Records,Original Production,id-57,f
id-218865,Kapvt Mvndi,,id-1178,f
id-178184,Kärringa Jonson Records,,,f
id-158271,Takeout Records,,,f
id-158273,Fran Record Company,,,f
id-172311,May Sun Publishing,Publisher,,f
id-82597,Wolpfack Entertainment,,,f
id-1629,Scaroline Records,Bootleg Production,id-222,f
id-160519,Method Records,,id-221,f
rec-187802-dup-0,Perfekt Prescriptions,,id-221,f
id-35914,Megaplomb,Original Production,id-105,f
id-197746,劇伴俱楽部,,,f
id-243653,CWPT,,,f
id-162139,Shimmy 500,,,f
id-205156,Rush Hour Store Jams,,,f
id-189350,you deserve hell,Imprint,,f
id-85730,Downtown Music Publishing International Inc,Publisher,id-222,f
id-177314,Double J Music,Publisher,,f
id-153704,Extralineare Musik,,,f
id-133087,Oetstar Rekkers,,id-150,f
id-176936,Repulsive Evil Productions,,,f
id-103350,Self Serve Records,,,f
id-112126,Sound News Productions,,,f
id-25291,Krazy Kat,Original Production,id-221,f
id-21973,Pila Music,Production,id-81,f
id-79915,Night Season,,,f
id-122800,Emerald Eye Recordings,Distributor,id-221,f
rec-135915-dup-0,Msgaлайнер Рекордз,,,f
id-120921,madnet2000,,id-81,f
id-239343,Hot Tub Records,Distributor,id-29447,f
id-23315,Dollar Record Records,,id-222,f
id-194004,Numarec Music,,,f
id-134915,Spider Invasion,,,f
id-93652,B Lucky Music,,,f
id-89366,Mad Magazine,Publisher,,f
rec-39227-dup-0,Fresko Records Spain,,id-194,f
id-89101,Analogic Uberleben,Bootleg Production,,f
id-223017,Kame House Records,Publisher,id-81,f
id-43173,J Albert  Son Pty Ltd,Publisher,id-13,f
id-186918,Checkmate Records,,,f
id-166517,Nille Records,Production,id-81,f
id-161333,Wizz Records,,,f
rec-103349-dup-0,Diplomat Recordz,,id-292,f
id-192046,Jimmy Classic,,,f
rec-3557-dup-0,267 lattajaa,Production,id-72,f
rec-20529-dup-0,BitPbitz,,,f
id-74171,The Konspiracy Group,,,f
id-164882,VM 2000,Production,id-105,f
id-114974,Digital Dialect,,,f
id-537,VSOP Records,Reissue Production,id-222,f
id-148910,Gamma Island,Publisher,,f
id-76407,Warner Olive Music LLC,Publisher,id-222,f
id-178504,Refs Music LLC,,,f
id-211062,Spectra Management Inc,,,f
id-244096,DM SAT video production,Distributor,id-241,f
id-78526,こんがりおんがく,,,f
id-18190,לבנטיני,Production,id-104,f
id-153015,Electric MVM,Production,id-3813,f
id-23679,Tumi Music,,id-15556,f
id-137604,Alma Criolla Records,,,f
