area,name,area_type,ended
id-91042,Haaksbergen,City,f
id-39548,Marcilly-sur-Maulne,City,f
id-118709,Mitte,District,f
id-118256,Kamiochiai,District,f
id-118257,Tenjinchō,District,f
id-115964,Kelseyville,City,f
id-97589,Avenches,Municipality,f
id-97588,Aubonne,Municipality,f
id-84285,Estes Park,City,f
id-118099,Mountainside,City,f
id-69633,Norderney,City,f
id-69630,Nittenau,City,f
id-13718,Peccioli,Municipality,f
id-69634,Norderstedt,City,f
id-13487,Parre,Municipality,f
id-101353,Boutersem,Municipality,f
id-85133,Cypress,City,f
rec-63101-dup-0,Chausqy,City,f
rec-66791-dup-0,Saor9e,City,f
id-113003,Ayamonte,Municipality,f
rec-94000-dup-0,Oosthuuzen,City,f
id-72494,Seeheim-Jugenheim,Municipality,f
id-117944,Schnecksville,City,f
id-98107,Illnau-Effretikon,Municipality,f
id-116855,Weert,City,f
id-98452,Espinho,Municipality,f
id-79449,Peoria,City,f
id-49332,Meisenthal,City,f
rec-75478-dup-0,Witnau,Municipality,f
rec-74804-dup-0,Beuten,Municipality,f
id-93801,Heukelum,City,f
id-24324,Greencastle,City,f
id-16619,Galtellì,Municipality,f
id-118671,Cambria,City,f
id-118675,Marcellus,City,f
id-13621,Coli,Municipality,f
id-13623,Lamporecchio,Municipality,f
id-58504,Saint-Cyr-sur-Loire,City,f
id-21199,Polla,Municipality,f
id-1526,Zacatecas,Subdivision,f
id-66028,Saint-Jean-dAulps,City,f
id-44438,Lodi,City,f
id-118386,Raglan,City,f
rec-80880-dup-0,Maple Vally,Municipality,f
id-83888,Greenbrier,City,f
id-44431,East Ham,District,f
id-44430,Cépet,City,f
id-1800,Liberecký kraj,Subdivision,f
id-78971,Hohenfelden,Municipality,f
id-90277,Northriding,City,f
id-75334,Schliengen,Municipality,f
id-5779,Martinsville,City,f
rec-82553-dup-0,Lymn,City,f
id-21447,Chieri,Municipality,f
id-5771,Broomfield,City,f
id-21335,Lanciano,Municipality,f
id-5775,Sarasota,City,f
id-24257,Avondale Estates,City,f
