label,name,label_type,area,ended
id-162198,Paper Music Ltd.,Publisher,,f
id-189793,Generation HEX,,,f
id-130579,Lmgr Music,,,f
id-118707,True Colours,Production,,f
id-118700,Ancient Language Records,,,f
id-93979,hi Res,,,f
id-206225,Near The Edge Editions,,,f
id-119650,Far Away Records,,,f
id-195678,Soundwave on Duty,,,f
id-153937,Mohofusu Records,Production,,f
id-118092,More Bounce Records,,,f
id-98291,Wild Pitch Records Ltd.,,,f
id-50643,Post Production Music,Original Production,,f
id-192451,Homemade Projects LLC,,,f
id-200680,Madame Contagious Ltd,,,f
id-66644,Mystery School Audio,,,f
rec-231733-dup-0,Muerte al silensio,,,f
id-59673,Big Time Club,,,f
id-78035,Spot Records,,,f
id-188206,Village Recorders,Publisher,,f
id-185780,Tight Natural Productions,,,f
rec-137729-dup-0,Tz,Production,,f
rec-224993-dup-0,White Can0e,,,f
id-145394,Architects of Melody Records,,,f
id-127894,Teen Records,,,f
id-246257,Push Music Jamaica Publishing Ltd.,Publisher,,f
id-243115,Arctic,,,f
id-237043,Beauty Fool Records,,,f
id-116946,Graylan Management Ltd.,,,f
id-61041,Planeteer Records,,,f
id-127787,Esselgy Records,,,f
id-159803,He Gave Me Music,Publisher,,f
id-120323,PH 203,Distributor,,f
id-141716,Blueblade Records,,,f
id-21661,Final Hour Entertainment,Original Production,,f
id-188065,Star-Glow Records,,,f
id-126415,Beta Persei,Production,,f
id-204816,Babb Music,Publisher,,f
id-186822,StreetMule,,,f
id-95186,Jazz Showcase,,,f
id-129135,Pac-Jam Publishing,Publisher,,f
id-230704,Future Retro London,,,f
id-205811,Milma Publishing Company,Publisher,,f
id-130625,Jube Pops,,,f
id-164912,Twin Bros Music,Publisher,,f
id-121819,Low-Sal Music Co.,,,f
id-182032,Guilhotina,,,f
id-164916,Prince Kay One GmbH,,,f
id-80046,Prolific Dubbs,,,f
id-153028,Easy Listening,,,f
id-104401,Gorrilla Records,,,f
id-201796,Alrealon Musique,Production,,f
rec-146543-dup-0,Damask Musik,Publisher,,f
id-248939,vȯ ̷̨ʅvȯ ̷̨ʅƟʅƟʅ,,,f
id-120573,Phono,,,f
id-170402,Atlas Productions,Bootleg Production,,f
id-153200,Atelier ladybird,,,f
rec-70537-dup-0,Berlinische Galwrie,,,f
rec-58295-dup-0,Back H0me,,,f
id-191572,IDAP Music,Publisher,,f
id-207553,Sheba Publishing LLC,Publisher,,f
id-192457,DANIEL SAINT BLACK,,,f
id-210014,LNDKHN,,,f
id-213225,ProgRock.coms Essentials,,,f
id-94805,Ninth World Music,,,f
id-211688,Shakti Dance Productions,Production,,t
id-228308,Silent Xords,,,f
id-182252,The Old Professors Music,Publisher,id-83858,f
id-74339,Twenty Ten Music,,,f
rec-186294-dup-0,4 J Recordz,,,t
rec-66297-dup-0,Nia Music Distrivution,,,f
rec-159357-dup-0,Adfersity Records,,,f
id-211833,Eat Slop Entertainment,,,f
id-159095,Pafata Productions,,,f
id-157355,Ephemera Archives,,,f
id-166285,nnnrecords,,,f
id-217365,Moor 2 Come Music,Publisher,,f
id-229098,Spencer Productions Ltd.,Holding,,f
id-80191,Lalouline,,,f
rec-71728-dup-0,Goat Skull Recprds,,,f
rec-241966-dup-0,Onaly Music Division,,,f
id-101905,Torcaza Records,,id-98670,f
id-47008,Phantasm Imports,,,f
rec-216036-dup-0,Verano Recorcls,,,f
id-96187,Sodapop Records,,,f
id-231076,Uncle Buddies Music Inc.,Publisher,,f
id-201304,Fallen Tree 1Hundred,,,f
id-18877,Sirius Records,Bootleg Production,,f
id-106793,Kaboom Music,Production,,f
id-173872,Trilenium,Bootleg Production,,f
id-228236,COUNTRYm.,,,f
id-143415,C.R. Records,,,f
id-143416,Everywhere Music,Production,,f
id-167006,Heel.zone,Production,,f
rec-3433-dup-0,Jed Records,Original Production,,f
rec-66426-dup-0,Moutj of the Serpent,,,f
id-126208,Lago Film GmbH,,,f
id-56154,Urban Umpires Unlimited,,,f
id-245356,Twenty Something,,,f
id-64657,Rodeløkka Grammofon,,,f
id-170994,Archivio Letterario,,,f
id-135271,SOMICO,,,f
id-170999,Ladmo,,,f
id-135272,Deep Web Music,,,f
rec-241043-dup-0,Bron G. Incorpora6ed,,,f
rec-136159-dup-0,Logaahhythm,,,f
id-237732,1AD,,,f
